name;info;birth;demise;dataUrl
Duquesa de Abrantes;Escritora francesa;1783;1834;https://proverbia.net/autor/frases-de-duquesa-de-abrantes
Bella Abzug;Política estadounidense;1920;1998;https://proverbia.net/autor/frases-de-bella-abzug
Lord Acton;Historiador inglés;1834;1902;https://proverbia.net/autor/frases-de-lord-acton
Henry Adams;Escritor y historiador estadounidense;1838;1918;https://proverbia.net/autor/frases-de-henry-adams
Douglas Adams;Escritor británico;1952;2001;https://proverbia.net/autor/frases-de-douglas-adams
Joseph Addison;Ensayista, poeta y dramaturgo inglés;1672;1719;https://proverbia.net/autor/frases-de-joseph-addison
Konrad Adenauer;Político alemán;1876;1967;https://proverbia.net/autor/frases-de-konrad-adenauer
Alfred Adler;Psicólogo y psiquiatra austriaco;1870;1937;https://proverbia.net/autor/frases-de-alfred-adler
Theodor W. Adorno;Filósofo alemán;1903;1969;https://proverbia.net/autor/frases-de-theodor-w-adorno
Agatón;Dramaturgo griego;448AC;401AC;https://proverbia.net/autor/frases-de-agaton
Mariano Aguiló;Poeta español;1825;1897;https://proverbia.net/autor/frases-de-mariano-aguilo
Alain;Filósofo y ensayista francés;1868;1951;https://proverbia.net/autor/frases-de-alain
Sealtiel Alatriste;Editor y escritor mexicano;1949;?;https://proverbia.net/autor/frases-de-sealtiel-alatriste
Rafael Alberti;Poeta y dramaturgo español;1902;1999;https://proverbia.net/autor/frases-de-rafael-alberti
Leon Battista Alberti;Arquitecto y escritor italiano;1404;1472;https://proverbia.net/autor/frases-de-leon-battista-alberti
Amos Bronson Alcott;Filósofo y profesor estadounidense;1799;1888;https://proverbia.net/autor/frases-de-amos-bronson-alcott
Louise May Alcott;Escritora estadounidense;1832;1888;https://proverbia.net/autor/frases-de-louise-may-alcott
Josefina Aldecoa;Escritora y pedagoga española;1926;2011;https://proverbia.net/autor/frases-de-josefina-aldecoa
Mateo Alemán;Novelista español;1547;1613;https://proverbia.net/autor/frases-de-mateo-aleman
Samuel Alexander;Filósofo británico;1859;1938;https://proverbia.net/autor/frases-de-samuel-alexander
Vittorio Alfieri;Dramaturgo y poeta italiano;1749;1803;https://proverbia.net/autor/frases-de-vittorio-alfieri
Alfonso V el Magnánimo;Rey de Aragón;1394;1458;https://proverbia.net/autor/frases-de-alfonso-v-el-magnanimo
Alfonso X el Sabio;Rey de Castilla y León;1221;1284;https://proverbia.net/autor/frases-de-alfonso-x-el-sabio
Dante Alighieri;Escritor y filósofo italiano;1265;1321;https://proverbia.net/autor/frases-de-dante-alighieri
Alphonse Allais;Escritor francés;1855;1905;https://proverbia.net/autor/frases-de-alphonse-allais
Fred Allen;Humorista estadounidense;1894;1956;https://proverbia.net/autor/frases-de-fred-allen
Woody Allen;Actor, director y escritor estadounidense;1935;?;https://proverbia.net/autor/frases-de-woody-allen
Isabel Allende;Escritora chilena;1942;?;https://proverbia.net/autor/frases-de-isabel-allende
Marco Aurelio Almazán;Escritor y diplomático mexicano;1922;1991;https://proverbia.net/autor/frases-de-marco-aurelio-almazan
Pedro Almodovar;Director de cine español;1950;?;https://proverbia.net/autor/frases-de-pedro-almodovar
Edmundo de Amicis;Escritor italiano;1846;1908;https://proverbia.net/autor/frases-de-edmundo-de-amicis
Henry F. Amiel;Escritor suizo;1821;1881;https://proverbia.net/autor/frases-de-henry-f-amiel
Ana de Austria;;;;https://proverbia.net/autor/frases-de-ana-de-austria
Anacarsis;Filósofo escita;s. VII AC;s. VII AC;https://proverbia.net/autor/frases-de-anacarsis
Anaxágoras;Filósofo griego;500 A.C.;428 A.C.;https://proverbia.net/autor/frases-de-anaxagoras
RobertAnderson;;;;https://proverbia.net/autor/frases-de-robert-anderson
Leonid Andréiev;Escritor ruso;1871;1919;https://proverbia.net/autor/frases-de-leonid-andreiev
Giulio Andreotti;Político italiano;1919;?;https://proverbia.net/autor/frases-de-giulio-andreotti
Julio Anguita;Político español;1941;?;https://proverbia.net/autor/frases-de-julio-anguita
Kofi Annan;Secretario General de las Naciones Unidas;1938;?;https://proverbia.net/autor/frases-de-kofi-annan
Gabriele d' Annunzio;Escritor italiano;1863;1938;https://proverbia.net/autor/frases-de-gabriele-d-annunzio
Jean Anouilh;Escritor y dramaturgo francés;1910;1987;https://proverbia.net/autor/frases-de-jean-anouilh
Michelangelo Antonioni;Cineasta y escritor italiano;1912;2007;https://proverbia.net/autor/frases-de-michelangelo-antonioni
