name;info;birth;demise;dataUrl
Richard Bach;Escritor y aviador estadounidense;1936;?;https://proverbia.net/autor/frases-de-richard-bach
Gastón Bachelard;Filósofo francés;1884;1962;https://proverbia.net/autor/frases-de-gaston-bachelard
Jim Backus;Actor americano;1913;1989;https://proverbia.net/autor/frases-de-jim-backus
Sir Francis Bacon;Filósofo y estadista británico;1561;1626;https://proverbia.net/autor/frases-de-sir-francis-bacon
Robert Baden-Powell;Militar y escritor británico;1857;1941;https://proverbia.net/autor/frases-de-robert-badenpowell
Joan Baez;Cantante estadounidense;1941;?;https://proverbia.net/autor/frases-de-joan-baez
Walter Bagehot;Economista y jurista inglés;1826;1877;https://proverbia.net/autor/frases-de-walter-bagehot
John Baines;Filósofo y científico chileno;1935;?;https://proverbia.net/autor/frases-de-john-baines
Mijail Bakunin;Revolucionario ruso;1814;1876;https://proverbia.net/autor/frases-de-mijail-bakunin
Balduino I;Rey de Bélgica;1930;1993;https://proverbia.net/autor/frases-de-balduino-i
James Baldwin;Ensayista, novelista y dramaturgo estadounidense;1924;1987;https://proverbia.net/autor/frases-de-james-baldwin
Jaime Luciano Balmes;Filósofo y sacerdote español;1810;1848;https://proverbia.net/autor/frases-de-jaime-luciano-balmes
Honoré de Balzac;Escritor francés;1799;1850;https://proverbia.net/autor/frases-de-honore-de-balzac
Henri Barbusse;Novelista francés;1873;1935;https://proverbia.net/autor/frases-de-henri-barbusse
Clive Barker;Escritor y director de cine inglés;1952;?;https://proverbia.net/autor/frases-de-clive-barker
Pío Baroja;Escritor español;1872;1956;https://proverbia.net/autor/frases-de-pio-baroja
Jean-Louis Barrault;Actor y director francés;1910;1994;https://proverbia.net/autor/frases-de-jeanlouis-barrault
J. M. Barrie;Escritor escocés;1860;1937;https://proverbia.net/autor/frases-de-j-m-barrie
Nuria Barrios;Escritora española;1962;?;https://proverbia.net/autor/frases-de-nuria-barrios
Karl Barth;Teólogo suizo;1886;1968;https://proverbia.net/autor/frases-de-karl-barth
Joaquín Bartrina;Poeta español;1850;1880;https://proverbia.net/autor/frases-de-joaquin-bartrina
Bernard M. Baruch;Financiero y asesor presidencial estadounidense;1870;1965;https://proverbia.net/autor/frases-de-bernard-m-baruch
MadameBasta;;;;https://proverbia.net/autor/frases-de-madame-basta
Henry Bataille;Dramaturgo francés;1872;1922;https://proverbia.net/autor/frases-de-henry-bataille
Charles Baudelaire;Escritor, poeta y crítico francés;1821;1867;https://proverbia.net/autor/frases-de-charles-baudelaire
Vicki Baum;Novelista estadounidense;1888;1960;https://proverbia.net/autor/frases-de-vicki-baum
Pierre Augustin de Beaumarchais;Poeta dramático francés;1732;1799;https://proverbia.net/autor/frases-de-pierre-augustin-de-beaumarchais
Simone de Beauvoir;Novelista e intelectual francesa;1908;1986;https://proverbia.net/autor/frases-de-simone-de-beauvoir
Cesare Beccaria;Literato, filósofo, jurista y economista italiano;1738;1794;https://proverbia.net/autor/frases-de-cesare-beccaria
Samuel Beckett;Poeta y novelista irlandés;1906;1989;https://proverbia.net/autor/frases-de-samuel-beckett
Gustavo Adolfo Bécquer;Poeta español;1836;1870;https://proverbia.net/autor/frases-de-gustavo-adolfo-becquer
Henry Ward Beecher;Religioso estadounidense;1813;1887;https://proverbia.net/autor/frases-de-henry-ward-beecher
Harriet Beecher Stowe;Filántropa y Escritora estadounidense;1811;1896;https://proverbia.net/autor/frases-de-harriet-beecher-stowe
Ludwig van Beethoven;Compositor y músico alemán;1770;1827;https://proverbia.net/autor/frases-de-ludwig-van-beethoven
Aphra Behn;Escritora y espía británica;1640;1689;https://proverbia.net/autor/frases-de-aphra-behn
Alexandre Graham Bell;Inventor estadounidense;1847;1922;https://proverbia.net/autor/frases-de-alexandre-graham-bell
Jacinto Benavente;Dramaturgo español;1866;1954;https://proverbia.net/autor/frases-de-jacinto-benavente
Mario Benedetti;Escritor y poeta uruguayo;1920;2009;https://proverbia.net/autor/frases-de-mario-benedetti
Benedicto XVI;Papa de la Iglesia Católica;1927;?;https://proverbia.net/autor/frases-de-benedicto-xvi
Arnold Bennett;Novelista británico;1867;1931;https://proverbia.net/autor/frases-de-arnold-bennett
Pierre Benoit;Novelista francés;1886;1962;https://proverbia.net/autor/frases-de-pierre-benoit
José Bergamín;Escritor español;1895;1983;https://proverbia.net/autor/frases-de-jose-bergamin
