name;info;birth;demise;dataUrl
Heywood Hale Broun;Periodista, actor y escritor estadounidense;1918;2001;https://proverbia.net/autor/frases-de-heywood-hale-broun
Alexander Hamilton;Político estadounidense;1757;1804;https://proverbia.net/autor/frases-de-alexander-hamilton
Knut Hamsum;Escritor noruego;1859;1952;https://proverbia.net/autor/frases-de-knut-hamsum
Godfrey H. Hardy;Matemático británico;1877;1947;https://proverbia.net/autor/frases-de-godfrey-h-hardy
S.Harris;;;;https://proverbia.net/autor/frases-de-s-harris
Nicolai Hartmann;Filósofo idealista alemán;1882;1950;https://proverbia.net/autor/frases-de-nicolai-hartmann
Václav Havel;Escritor, dramaturgo y político checo;1936;2011;https://proverbia.net/autor/frases-de-vaclav-havel
William Hazlitt;Literato ingles;1778;1830;https://proverbia.net/autor/frases-de-william-hazlitt
Friedrich Hebbel;Poeta y dramaturgo alemán;1813;1863;https://proverbia.net/autor/frases-de-friedrich-hebbel
Friedrich Hegel;Filósofo alemán;1770;1831;https://proverbia.net/autor/frases-de-friedrich-hegel
Martin Heidegger;Filósofo alemán;1889;1976;https://proverbia.net/autor/frases-de-martin-heidegger
Heinrich Heine;Poeta alemán;1797;1856;https://proverbia.net/autor/frases-de-heinrich-heine
Robert Heinlen;Escritor estadounidense;1907;1988;https://proverbia.net/autor/frases-de-robert-heinlen
Werner Karl Heisenberg;Filósofo y físico alemán;1901;1976;https://proverbia.net/autor/frases-de-werner-karl-heisenberg
Joseph Heller;Escritor norteamericano;1923;1999;https://proverbia.net/autor/frases-de-joseph-heller
Lilliam Hellman;Dramaturga y guionista estadounidense;1905;1984;https://proverbia.net/autor/frases-de-lilliam-hellman
Arthur Helps;Escritor y periodista inglés;1813;1875;https://proverbia.net/autor/frases-de-arthur-helps
Claude Adrien Helvétius;Filósofo francés;1715;1771;https://proverbia.net/autor/frases-de-claude-adrien-helvetius
Ernest Hemingway;Escritor estadounidense;1899;1961;https://proverbia.net/autor/frases-de-ernest-hemingway
Howard G. Hendricks;;Intelectual y escritor estadounidense.;;https://proverbia.net/autor/frases-de-howard-g-hendricks
William Ernest Henley;Poeta y editor británico;1849;1903;https://proverbia.net/autor/frases-de-william-ernest-henley
Katharine Hepburn;Actriz estadounidense;1909;2003;https://proverbia.net/autor/frases-de-katharine-hepburn
Heráclito de Efeso;Filósofo griego;540 AC;470 AC;https://proverbia.net/autor/frases-de-heraclito-de-efeso
George Herbert;Poeta religioso inglés;1593;1633;https://proverbia.net/autor/frases-de-george-herbert
Johann Herder;Escritor y filósofo prusiano;1744;1803;https://proverbia.net/autor/frases-de-johann-herder
Jesús Hermida;Periodista y presentador español;1937;?;https://proverbia.net/autor/frases-de-jesus-hermida
José Hernández;Periodista y poeta argentino;1834;1886;https://proverbia.net/autor/frases-de-jose-hernandez
Heródoto de Halicarnaso;Historiador y geógrafo griego;484 AC;425 AC;https://proverbia.net/autor/frases-de-herodoto-de-halicarnaso
Helenio Herrera;Entrenador de fútbol franco-argentino;1910;1997;https://proverbia.net/autor/frases-de-helenio-herrera
Luis Herrero;Periodista español;1955;?;https://proverbia.net/autor/frases-de-luis-herrero
Theodore Hesburgh;Clérigo estadounidense;1917;?;https://proverbia.net/autor/frases-de-theodore-hesburgh
Hesíodo;Poeta griego;Siglo VII AC;Siglo VI AC;https://proverbia.net/autor/frases-de-hesiodo
Hermann Hesse;Escritor suizo, de origen alemán;1877;1962;https://proverbia.net/autor/frases-de-hermann-hesse
Stéphane Hessel;Escritor y militante político francés;1917;2013;https://proverbia.net/autor/frases-de-stephane-hessel
F. Heumer;;Escritor contemporáneo alemán.;;https://proverbia.net/autor/frases-de-f-heumer
I.Heywood;;;;https://proverbia.net/autor/frases-de-i-heywood
José Hierro;Poeta español;1922;2002;https://proverbia.net/autor/frases-de-jose-hierro
Thomas Wentworth Higginson;Político estadounidense;1823;1911;https://proverbia.net/autor/frases-de-thomas-wentworth-higginson
William Hill;Astrónomo estadounidense;1838;1914;https://proverbia.net/autor/frases-de-william-hill
Hipócrates;Médico griego;s. V AC;s. IV AC;https://proverbia.net/autor/frases-de-hipocrates
Alfred Hitchcock;Director de cine británico;1899;1980;https://proverbia.net/autor/frases-de-alfred-hitchcock
Adolf Hitler;Dictador de la Alemania nazi;1889;1945;https://proverbia.net/autor/frases-de-adolf-hitler
Henry F.Hoar;;;;https://proverbia.net/autor/frases-de-henry-f-hoar
Thomas Hobbes;Filósofo y tratadista político inglés;1588;1679;https://proverbia.net/autor/frases-de-thomas-hobbes
Eckhart de Hochheim;Teólogo y filósofo alemán;1260;1328;https://proverbia.net/autor/frases-de-eckhart-de-hochheim
David Hockney;Pintor y dibujante inglés;1937;?;https://proverbia.net/autor/frases-de-david-hockney
Eric Hoffer;Escritor y filósofo estadounidense;1902;1983;https://proverbia.net/autor/frases-de-eric-hoffer
E.T.A. Hoffmann;Escritor, pintor y músico alemán;1776;1822;https://proverbia.net/autor/frases-de-eta-hoffmann
Barón de Holbach;Filósofo francés;1723;1789;https://proverbia.net/autor/frases-de-baron-de-holbach
Oliver Wendell Holmes;Poeta y médico estadounidense;1809;1894;https://proverbia.net/autor/frases-de-oliver-wendell-holmes
Homero;Poeta y rapsoda griego;VIII AC;VIII AC;https://proverbia.net/autor/frases-de-homero
