name;info;birth;demise;dataUrl
Max Jacobs;Escritor francés;1876;1944;https://proverbia.net/autor/frases-de-max-jacobs
Federico Luis Jahn;Educador alemán;1778;1852;https://proverbia.net/autor/frases-de-federico-luis-jahn
William James;Psicólogo y filósofo estadounidense;1842;1910;https://proverbia.net/autor/frases-de-william-james
Henry James;Escritor estadounidense;1843;1916;https://proverbia.net/autor/frases-de-henry-james
Benjamín Jarnés;Novelista y ensayista español;1888;1949;https://proverbia.net/autor/frases-de-benjamin-jarnes
Karl Theodor Jaspers;Filósofo existencialista alemán;1883;1969;https://proverbia.net/autor/frases-de-karl-theodor-jaspers
Louis de Jaucourt;Médico y escritor francés;1704;1779;https://proverbia.net/autor/frases-de-louis-de-jaucourt
Jean Paul;Escritor y humorista alemán;1763;1825;https://proverbia.net/autor/frases-de-jean-paul
Thomas Jefferson;Político Estadounidense;1743;1826;https://proverbia.net/autor/frases-de-thomas-jefferson
Jerome Klapka Jerome;Humorista inglés;1858;1927;https://proverbia.net/autor/frases-de-jerome-klapka-jerome
Douglas Williams Jerrold;Dramaturgo, periodista y humorista inglés;1803;1857;https://proverbia.net/autor/frases-de-douglas-williams-jerrold
Jesucristo;Fundador del cristianismo;4 AC;30;https://proverbia.net/autor/frases-de-jesucristo
Juan Ramón Jiménez;Escritor español;1881;1958;https://proverbia.net/autor/frases-de-juan-ramon-jimenez
Steve Jobs;Empresario e informático estadounidense;1955;2011;https://proverbia.net/autor/frases-de-steve-jobs
Samuel Johnson;Escritor inglés;1709;1784;https://proverbia.net/autor/frases-de-samuel-johnson
Hiram Warren Johnson;Político estadounidense;1866;1945;https://proverbia.net/autor/frases-de-hiram-warren-johnson-
Franklin P.Jones;;;;https://proverbia.net/autor/frases-de-franklin-p-jones
Benjamin Jonson;Dramaturgo inglés;1572;1637;https://proverbia.net/autor/frases-de-benjamin-jonson
David Starr Jordan;Educador y ictiólogo estadounidense;1851;1931;https://proverbia.net/autor/frases-de-david-starr-jordan
Michael Jordan;Deportista estadounidense;1963;?;https://proverbia.net/autor/frases-de-michael-jordan
Joseph Joubert;Ensayista y moralista francés;1754;1824;https://proverbia.net/autor/frases-de-joseph-joubert
Marcel Jouhandeau;Escritor francés;1888;1979;https://proverbia.net/autor/frases-de-marcel-jouhandeau
Gaspar Melchor de Jovellanos;Literato, economista y político español;1744;1811;https://proverbia.net/autor/frases-de-gaspar-melchor-de-jovellanos
James Joyce;Escritor irlandés;1882;1941;https://proverbia.net/autor/frases-de-james-joyce
Nikita Jrushchov;Político ruso;1894;1971;https://proverbia.net/autor/frases-de-nikita-jrushchov
Juan Pablo II;Papa de la iglesia católica;1920;2005;https://proverbia.net/autor/frases-de-juan-pablo-ii
Juan XXIII;Papa de la iglesia católica;1881;1963;https://proverbia.net/autor/frases-de-juan-xxiii
Benito Juárez;Político mexicano;1806;1872;https://proverbia.net/autor/frases-de-benito-juarez
Julio César;Emperador romano;100 AC;44 AC;https://proverbia.net/autor/frases-de-julio-cesar
Carl Gustav Jung;Psicólogo y psiquiatra suizo;1875;1961;https://proverbia.net/autor/frases-de-carl-gustav-jung
Juvenal;Poeta satírico romano;67;127;https://proverbia.net/autor/frases-de-juvenal
