name;info;birth;demise;dataUrl
Franz Kafka;Escritor checoslovaco;1883;1924;https://proverbia.net/autor/frases-de-franz-kafka
Henry John Kaiser;Industrial estadounidense;1882;1967;https://proverbia.net/autor/frases-de-henry-john-kaiser
Kalidasa;;Poeta hindú;;https://proverbia.net/autor/frases-de-kalidasa
Henry Home Kames;Juez y escritor francés;1696;1792;https://proverbia.net/autor/frases-de-henry-home-kames
Immanuel Kant;Filosofo alemán;1724;1804;https://proverbia.net/autor/frases-de-immanuel-kant
Ryszard Kapuscinski;Periodista y escritor en idioma polaco;1932;2007;https://proverbia.net/autor/frases-de-ryszard-kapuscinski
Alphonse Karr;Escritor francés;1808;1890;https://proverbia.net/autor/frases-de--alphonse-karr
Erich Kästner;Poeta y novelista alemán;1899;1974;https://proverbia.net/autor/frases-de-erich-k%C3%A4stner
David T. Kearns;Empresario y político estadounidense;1930;2011;https://proverbia.net/autor/frases-de-david-t-kearns
John Keats;Poeta ingles;1795;1821;https://proverbia.net/autor/frases-de-john-keats
Sam Keen;Escritor, profesor y filósofo americano;1931;?;https://proverbia.net/autor/frases-de-sam-keen
Havey Keitel;;Actor norteamericano.;;https://proverbia.net/autor/frases-de-havey-keitel
Helen Keller;Escritora y conferenciante estadounidense;1880;1968;https://proverbia.net/autor/frases-de-helen-keller
Lindsay Kemp;Escenógrafo y actor británico;1939;?;https://proverbia.net/autor/frases-de-lindsay-kemp
Thomas De Kempis;Teólogo alemán;1380;1471;https://proverbia.net/autor/frases-de-thomas-de-kempis
Patrick J. Kennedy;Político estadounidense;1967;?;https://proverbia.net/autor/frases-de-patrick-j-kennedy
John Fitzgerald Kennedy;Político estadounidense;1917;1963;https://proverbia.net/autor/frases-de-john-fitzgerald-kennedy
Edward Kennedy;Político estadounidense;1932;2009;https://proverbia.net/autor/frases-de-edward-kennedy
Robert Kennedy;Político y fiscal general estadounidense;1925;1968;https://proverbia.net/autor/frases-de-robert-kennedy
S.Kent;;;;https://proverbia.net/autor/frases-de-s-kent
John Maynard Keynes;Economista inglés;1883;1946;https://proverbia.net/autor/frases-de-john-maynard-keynes
Hermann Keyserling;Filósofo y científico alemán;1880;1946;https://proverbia.net/autor/frases-de-hermann-keyserling
Omar Khayyam;;Poeta persa.;;https://proverbia.net/autor/frases-de-omar-khayyam
Sören Aabye Kierkegaard;Literato y filósofo danés;1813;1855;https://proverbia.net/autor/frases-de-soren-aabye-kierkegaard
B.B. King;Guitarrista y compositor estadounidense;1925;?;https://proverbia.net/autor/frases-de-bb-king
Martin Luther King;Religioso estadounidense;1929;1968;https://proverbia.net/autor/frases-de-martin-luther-king
Charles Kingsley;Novelista y clérigo inglés;1819;1875;https://proverbia.net/autor/frases-de-charles--kingsley-
RichardKingston;;;;https://proverbia.net/autor/frases-de-richard-kingston
Rudyard Kipling;Novelista británico;1865;1936;https://proverbia.net/autor/frases-de-rudyard-kipling
Ephraim Kishon;Escitor, dramaturgo y director de cine israelí;1924;2005;https://proverbia.net/autor/frases-de-ephraim-kishon
Nils Kjaer;Escritor noruego;1870;1924;https://proverbia.net/autor/frases-de-nils-kjaer
Robert Koch;Científico alemán;1843;1910;https://proverbia.net/autor/frases-de-robert-koch
Arthur Koestler;Escritor británico de origen húngaro;1905;1983;https://proverbia.net/autor/frases-de-arthur-koestler
Heinz G. Konsalik;Escritor alemán;1924;1999;https://proverbia.net/autor/frases-de-heinz-g-konsalik
Willem de Kooning;Pintor americano de origén alemán fue uno de los p;1904;1997;https://proverbia.net/autor/frases-de-willem-de-kooning
Lajos Kossuth;Político y patriota húngaro;1802;1894;https://proverbia.net/autor/frases-de-lajos-kossuth
Karl Kraus;Poeta, autor satírico y crítico austriaco;1874;1936;https://proverbia.net/autor/frases-de-karl-kraus
Stanley Kubrick;Director de cine estadounidense;1928;1999;https://proverbia.net/autor/frases-de-stanley-kubrick
Milan Kundera;Novelista y ensayista checo naturalizado francés;1929;?;https://proverbia.net/autor/frases-de-milan-kundera
AlisaKwitney;;;;https://proverbia.net/autor/frases-de-alisa-kwitney
