name;info;birth;demise;dataUrl
Marqués de La Fayette;Militar y político francés;1757;1834;https://proverbia.net/autor/frases-de-marques-de-la-fayette
Jean de La Fontaine;Escritor y poeta francés;1621;1695;https://proverbia.net/autor/frases-de-jean-de-la-fontaine
François de La Rochefoucauld;Escritor francés;1613;1680;https://proverbia.net/autor/frases-de-francois-de-la-rochefoucauld
Édouard René Lefebvre de Laboulaye;Jurista y político francés;1811;1883;https://proverbia.net/autor/frases-de-edouard-rene-lefebvre-de--laboulaye
Herni Dominique Lacordaire;Sacerdote y predicador francés;1802;1861;https://proverbia.net/autor/frases-de-herni-dominique-lacordaire
Jacques de Lacretelle;Escritor francés;1888;1985;https://proverbia.net/autor/frases-de-jacques-de-lacretelle
Selma Lagerlöf;Escritora sueca;1858;1940;https://proverbia.net/autor/frases-de-selma-lagerlof
Alphonse de Lamartine;Historiador, político y poeta francés;1790;1869;https://proverbia.net/autor/frases-de-alphonse-de-lamartine
Charles Lamb;Escritor inglés;1775;1834;https://proverbia.net/autor/frases-de-charles-lamb
Félecité de Lamennais;Escritor religioso francés;1782;1854;https://proverbia.net/autor/frases-de-felecite-de-lamennais
Alfredo Landa;Actor español;1933;2013;https://proverbia.net/autor/frases-de-alfredo-landa
Eustache J. Langlois;Dibujante francés;1777;1837;https://proverbia.net/autor/frases-de-eustache-j-langlois
Lao-tsé;Filósofo chino;570 aC;490 aC;https://proverbia.net/autor/frases-de-laotse
Mariano José de Larra;Escritor español;1809;1837;https://proverbia.net/autor/frases-de-mariano-jose-de-larra
Doug Larson;Atleta británico;1902;1981;https://proverbia.net/autor/frases-de-doug-larson
Stieg Larsson;Periodista y escritor sueco;1954;2004;https://proverbia.net/autor/frases-de-stieg-larsson
Ferdinand Lassalle;Político y pensador alemán;1825;1864;https://proverbia.net/autor/frases-de-ferdinand-lassalle
Johann Kaspar Lavater;Filósofo, poeta y teólogo suizo;1741;1801;https://proverbia.net/autor/frases-de-johann-kaspar-lavater
Louis Lavelle;Filósofo francés;1883;1951;https://proverbia.net/autor/frases-de-louis-lavelle
