name;info;birth;demise;dataUrl
Thomas Macaulay;Historiador y político británico;1800;1859;https://proverbia.net/autor/frases-de-thomas-macaulay
Antonio Machado;Poeta y prosista español;1875;1939;https://proverbia.net/autor/frases-de-antonio-machado
Manuel Machado;Poeta español;1874;1947;https://proverbia.net/autor/frases-de-manuel--machado
Henry Mackenzie;Escritor escocés;1745;1831;https://proverbia.net/autor/frases-de-henry-mackenzie
Shirley MacLaine;Actriz estadounidense;1934;?;https://proverbia.net/autor/frases-de-shirley-maclaine
Norman Maclean;Escritor estadounidense;1902;1990;https://proverbia.net/autor/frases-de-norman-maclean
Harold MacMillan;Político inglés;1894;1986;https://proverbia.net/autor/frases-de-harold-macmillan
Aurelio Teodosio Macrobio;;Filósofo latino.;;https://proverbia.net/autor/frases-de-aurelio-teodosio-macrobio
Maurice Maeterlinck;Escritor belga;1862;1949;https://proverbia.net/autor/frases-de-maurice-maeterlinck
Ramiro de Maeztu;Escritor español;1875;1936;https://proverbia.net/autor/frases-de-ramiro-de-maeztu
Naguib Mahfuz;Novelista egipcio;1911;2006;https://proverbia.net/autor/frases-de-naguib-mahfuz
Norman Mailer;Escritor estadounidense;1923;2007;https://proverbia.net/autor/frases-de-norman-mailer
Marquesa de Maintenon;Noble francesa;1635;1719;https://proverbia.net/autor/frases-de-marquesa-de-maintenon
Malcolm X;Activista político estadounidense;1925;1965;https://proverbia.net/autor/frases-de-malcolm-x
Nicolas Malebranche;Filósofo y teólogo francés;1638;1715;https://proverbia.net/autor/frases-de-nicolas-malebranche
Malesherbes;Político francés;1721;1794;https://proverbia.net/autor/frases-de-malesherbes
Ernesto Mallo;Escritor, dramaturgo y periodista argentino;1948;?;https://proverbia.net/autor/frases-de-ernesto-mallo
André Malraux;Novelista y político francés;1901;1976;https://proverbia.net/autor/frases-de-andre-malraux
Nelson Mandela;Abogado y político sudafricano;1918;2013;https://proverbia.net/autor/frases-de-nelson-mandela
Thomas Mann;Escritor alemán;1875;1955;https://proverbia.net/autor/frases-de-thomas-mann
Horace Mann;Educador estadounidense;1796;1859;https://proverbia.net/autor/frases-de-horace-mann
Katherine Mansfield;Escritora neozelandesa;1888;1923;https://proverbia.net/autor/frases-de-katherine-mansfield
Paolo Mantegazza;Antropólogo italiano;1831;1910;https://proverbia.net/autor/frases-de-paolo-mantegazza
Alessandro Manzoni;Poeta y escritor italiano;1785;1873;https://proverbia.net/autor/frases-de-alessandro-manzoni
Mao Tse-Tung;Estadista chino;1893;1976;https://proverbia.net/autor/frases-de-mao-tsetung
Nicolás Maquiavelo;Historiador, político y teórico italiano;1469;1527;https://proverbia.net/autor/frases-de-nicolas-maquiavelo
GarMar;;;;https://proverbia.net/autor/frases-de-gar-mar
Sándor Márai;Escritor húngaro;1900;1989;https://proverbia.net/autor/frases-de-sandor-marai
Gregorio Marañón;Médico y escritor español;1887;1960;https://proverbia.net/autor/frases-de-gregorio-maranon
Jean Paul Marat;Periodista y político revolucionario francés;1743;1793;https://proverbia.net/autor/frases-de-jean-paul-marat
Gabriel Marcel;Filósofo católico, dramaturgo y crítico francés;1889;1973;https://proverbia.net/autor/frases-de-gabriel-marcel
Marco Valerio Marcial;Poeta latino;40;104;https://proverbia.net/autor/frases-de-marco-valerio-marcial
Marco Aurelio;Emperador romano;121;180;https://proverbia.net/autor/frases-de-marco-aurelio
Orison Swett Marden;Escritor de libros de autoayuda;1850;1924;https://proverbia.net/autor/frases-de-orison-swett-marden
Antoni Marí;Escritor español;1944;?;https://proverbia.net/autor/frases-de-antoni-mari
María Teresa I de Austria;Emperatriz del Sacro Imperio Romano Germánico;1717;1780;https://proverbia.net/autor/frases-de-maria-teresa-i-de-austria-
Julián Marías;Filósofo español;1914;2005;https://proverbia.net/autor/frases-de-julian-marias
José Antonio Marina;Filósofo español;1939;?;https://proverbia.net/autor/frases-de-jose-antonio-marina
AntonioMarino Lemiere;;;;https://proverbia.net/autor/frases-de-antonio-marino-lemiere
J.Mario Simmel;;;;https://proverbia.net/autor/frases-de-j-mario-simmel
Bob Marley;Músico jamaicano;1945;1981;https://proverbia.net/autor/frases-de-bob-marley
Marqués de Vauvenargues;Moralista francés;1715;1747;https://proverbia.net/autor/frases-de-marques-de-vauvenargues
George C. Marshall;Militar y político estadounidense;1880;1959;https://proverbia.net/autor/frases-de-george-c-marshall
Adolfo Marsillach;Director y dramaturgo español;1928;2002;https://proverbia.net/autor/frases-de-adolfo-marsillach
Marcel Mart;Político luxemburgués;1927;?;https://proverbia.net/autor/frases-de-marcel-mart
José Martí;Político y escritor cubano;1853;1895;https://proverbia.net/autor/frases-de-jose-marti
Miquel Martí i Pol;Poeta español en lengua catalana;1929;2003;https://proverbia.net/autor/frases-de-miquel-marti-i-pol
Roger Martin du Gard;Escritor francés;1881;1958;https://proverbia.net/autor/frases-de-roger-martin-du-gard-
Carmen Martín Gaite;Novelista española;1925;2000;https://proverbia.net/autor/frases-de-carmen-martin-gaite
Magdalena Martínez;Flautista española;1963;?;https://proverbia.net/autor/frases-de-magdalena-martinez
Alfonso Martínez de Toledo;Escritor moralista español;1398;1468;https://proverbia.net/autor/frases-de-alfonso-martinez-de-toledo
Groucho Marx;Actor estadounidense;1890;1977;https://proverbia.net/autor/frases-de-groucho-marx
Karl Marx;Filósofo y economista alemán;1818;1883;https://proverbia.net/autor/frases-de-karl-marx
MartaMason;;;;https://proverbia.net/autor/frases-de-marta-mason
André Massena;Mariscal francés;1758;1817;https://proverbia.net/autor/frases-de-andre-massena
Paul Masson;Periodista francés;1846;1896;https://proverbia.net/autor/frases-de-paul-masson
