name;info;birth;demise;dataUrl
Vladimir Nabokov;Escritor ruso;1899;1977;https://proverbia.net/autor/frases-de-vladimir-nabokov
Ralph Nader;Activista y abogado estadounidense;1934;?;https://proverbia.net/autor/frases-de-ralph-nader
Napoleón I;Napoleón Bonaparte Emperador francés.;1769;1821;https://proverbia.net/autor/frases-de-napoleon-i
Napoleón III;Emperador de Francia;1808;1873;https://proverbia.net/autor/frases-de-napoleon-iii
José Narosky;Escritor argentino;1930;?;https://proverbia.net/autor/frases-de-jose-narosky
Ogden Nash;Poeta y humorista estadounidense;1902;1971;https://proverbia.net/autor/frases-de-ogden-nash
Sri Pandit Jawaharlal Nehru;Político indio;1889;1964;https://proverbia.net/autor/frases-de-sri-pandit-jawaharlal-nehru
Pablo Neruda;Poeta chileno;1904;1973;https://proverbia.net/autor/frases-de-pablo-neruda
Amado Nervo;Poeta, novelista y ensayista mexicano;1870;1919;https://proverbia.net/autor/frases-de-amado-nervo
John H. Newman;Cardenal y escritor británico;1801;1890;https://proverbia.net/autor/frases-de-john-h-newman
Isaac Newton;Matemático y físico británico;1642;1727;https://proverbia.net/autor/frases-de-isaac-newton
Charles Nicolle;Médico y bacteriólogo frances;1866;1936;https://proverbia.net/autor/frases-de-charles-nicolle
Martin Niemoeller;Pastor protestante alemán;1892;1984;https://proverbia.net/autor/frases-de-martin-niemoeller
Juan Eusebio Nieremberg;Teólogo y escritor español;1595;1658;https://proverbia.net/autor/frases-de-juan-eusebio-nieremberg
Friedrich Nietzsche;Filosofo alemán;1844;1900;https://proverbia.net/autor/frases-de-friedrich-nietzsche
Ippolito Nievo;Escritor italiano;1831;1861;https://proverbia.net/autor/frases-de-ippolito-nievo
J.Nievo;;;;https://proverbia.net/autor/frases-de-j-nievo
Theidir Ninnseb;;1817;1903);https://proverbia.net/autor/frases-de-theidir-ninnseb
Amélie Nothomb;Escritora belga en lengua francesa;1967;?;https://proverbia.net/autor/frases-de-amelie-nothomb-
Novalis;Friedrich von Hardenberg Poeta y filósofo alemán.;1772;1801;https://proverbia.net/autor/frases-de-novalis
Numa Pompilio;;;;https://proverbia.net/autor/frases-de-numa-pompilio
