name;info;birth;demise;dataUrl
François Rabelais;Escritor francés;1494;1553;https://proverbia.net/autor/frases-de-francois-rabelais
Jean-Baptiste Racine;Poeta trágico francés;1639;1699;https://proverbia.net/autor/frases-de-jeanbaptiste-racine
Santiago Ramón y Cajal;Médico español;1852;1934;https://proverbia.net/autor/frases-de-santiago-ramon-y-cajal
Ayn Rand;Filósofa y escritora ruso-estadounidense;1905;1982;https://proverbia.net/autor/frases-de-ayn-rand
Randolph;;;;https://proverbia.net/autor/frases-de-randolph
Jeannette Rankin;Política estadounidense Primera mujer elegida mie;1880;1973;https://proverbia.net/autor/frases-de-jeannette-rankin
John Ray;Naturalista británico;1627;1705;https://proverbia.net/autor/frases-de-john-ray
Charles Reade;Escritor inglés;1814;1884;https://proverbia.net/autor/frases-de-charles-reade
Ronald Reagan;Político estadounidense Ex-presidente.;1911;2004;https://proverbia.net/autor/frases-de-ronald-reagan
Bernardino Rebolledo;Militar, poeta y diplomático español;1597;1676;https://proverbia.net/autor/frases-de-bernardino-rebolledo
Vanessa Redgrave;Actriz británica;1937;?;https://proverbia.net/autor/frases-de-vanessa-redgrave
Rosa Regàs;Escritora española;1933;?;https://proverbia.net/autor/frases-de-rosa-reg%C3%A0s
Charles Régismanset;Escritor francés;1877;1945;https://proverbia.net/autor/frases-de-charles-regismanset
T.Reik;;;;https://proverbia.net/autor/frases-de-t-reik
Ernest Renan;Escritor francés;1823;1892;https://proverbia.net/autor/frases-de-ernest-renan
Jules Renard;Escritor y dramaturgo francés;1864;1910;https://proverbia.net/autor/frases-de-jules-renard
Pierre Auguste Renoir;Pintor francés;1841;1919;https://proverbia.net/autor/frases-de-pierre-auguste-renoir
Jean Renoir;Director de cine francés;1894;1979;https://proverbia.net/autor/frases-de-jean-renoir
Reveillere;;;;https://proverbia.net/autor/frases-de-reveillere
Jean Francois Revel;Escritor francés;1924;?;https://proverbia.net/autor/frases-de-jean-francois-revel
Alfonso Reyes;Escritor y poeta méxicano;1889;1959;https://proverbia.net/autor/frases-de-alfonso-reyes
Théodule-Armand Ribot;Psicólogo francés;1839;1916;https://proverbia.net/autor/frases-de-theodulearmand-ribot
Cardenal Richelieu;Noble y hombre de estado francés;1585;1642;https://proverbia.net/autor/frases-de-cardenal-richelieu
Rainer María Rilke;Escritor austríaco;1875;1926;https://proverbia.net/autor/frases-de-rainer-maria-rilke
Arthur Rimbaud;Poeta francés;1854;1891;https://proverbia.net/autor/frases-de-arthur-rimbaud
Conde de Rivarol;Escritor francés;1753;1801;https://proverbia.net/autor/frases-de-conde-de-rivarol
F. William Robertson;;Historiador escocés.;;https://proverbia.net/autor/frases-de-f-william-robertson
Maximilian Robespierre;Político y revolucionario francés;1758;1794;https://proverbia.net/autor/frases-de-maximilian-robespierre
Ken Robinson;Educador británico;1950;?;https://proverbia.net/autor/frases-de-ken-robinson
John D. Rockefeller;Empresario e industrial estadounidense;1839;1937;https://proverbia.net/autor/frases-de-john-d-rockefeller
José María Rodero;Actor español;1922;1991;https://proverbia.net/autor/frases-de-jose-maria-rodero
Auguste Rodin;Escultor francés;1840;1917;https://proverbia.net/autor/frases-de-auguste-rodin
Rodríguez Marín;;;;https://proverbia.net/autor/frases-de-rodriguez-marin
Will Rogers;Humorista estadounidense;1879;1935;https://proverbia.net/autor/frases-de-will-rogers
Gonzalo Rojas;Profesor y periodista chileno;1916;2011;https://proverbia.net/autor/frases-de-gonzalo-rojas
Fernando de Rojas;Escritor español autor de La Celestina;1465;1541;https://proverbia.net/autor/frases-de-fernando-de-rojas
Luis Rojas Marcos;Psiquiatra español;1943;?;https://proverbia.net/autor/frases-de-luis-rojas-marcos
Madame Roland;Política francesa;1754;1793;https://proverbia.net/autor/frases-de-madame-roland
Romain Rolland;Escritor francés galardonado con el Premio Nobel,;1866;1944;https://proverbia.net/autor/frases-de-romain-rolland
Eleanor Roosevelt;Defensora de los derechos sociales, diplomática y;1884;1962;https://proverbia.net/autor/frases-de-eleanor-roosevelt
Franklin D. Roosevelt;Político estadounidense;1882;1945;https://proverbia.net/autor/frases-de-franklin-d-roosevelt
Theodore Roosevelt;Político estadounidense;1858;1919;https://proverbia.net/autor/frases-de-theodore-roosevelt
Jean Rostand;Biólogo y escritor francés;1894;1977;https://proverbia.net/autor/frases-de-jean-rostand
Mayer Amschel Rothschild;Banquero alemán;1744;1812;https://proverbia.net/autor/frases-de-mayer-amschel-rothschild
William Rotsler;Escritor estadounidense;1926;1997;https://proverbia.net/autor/frases-de-william-rotsler
Denis deRougemont;;;;https://proverbia.net/autor/frases-de-denis-de-rougemont
Jacques Roumain;Escritor y político haitiano;1907;1944;https://proverbia.net/autor/frases-de-jacques-roumain
Jean Jacques Rousseau;Filósofo francés;1712;1778;https://proverbia.net/autor/frases-de-jean-jacques-rousseau
Joseph Roux;Abad católico, poeta y filólogo francés;1834;1905;https://proverbia.net/autor/frases-de-joseph-roux
Helen Rowland;Periodista y humorista estadounidense;1875;1950;https://proverbia.net/autor/frases-de-helen-rowland
Pedro Ruiz;Humrista, escritor y presentador español;1947;?;https://proverbia.net/autor/frases-de-pedro-ruiz
Víctor Ruiz Iriarte;Dramaturgo español;1912 ;1982;https://proverbia.net/autor/frases-de-victor-ruiz-iriarte
Juan Rulfo;Novelista y cuentista mexicano;1917;1986;https://proverbia.net/autor/frases-de-juan-rulfo
Salman Rushdie;Escritor anglo-hindú;1947;?;https://proverbia.net/autor/frases-de-salman-rushdie
Santiago Rusiñol i Prats;Pintor y escritor español;1861;1931;https://proverbia.net/autor/frases-de-santiago-rusinol-i-prats
John Ruskin;Crítico y escritor británico;1819;1900;https://proverbia.net/autor/frases-de-john-ruskin
Bertrand Russell;Filósofo, matemático y escritor británico.;1872;1970;https://proverbia.net/autor/frases-de-bertrand-russell
