name;info;birth;demise;dataUrl
Muslih-Ud-Din Saadi;Poeta persa;1184;1291;https://proverbia.net/autor/frases-de-muslihuddin-saadi
Maurice Saatchi;Publicista británico;1946;?;https://proverbia.net/autor/frases-de-maurice-saatchi
Diego de Saavedra Fajardo;Diplomático y escritor español;1584;1648;https://proverbia.net/autor/frases-de-diego-de-saavedra-fajardo
Jordi Sabater Pi;Etiologo y primatólogo español;1922;?;https://proverbia.net/autor/frases-de-jordi-sabater-pi
Ernesto Sábato;Escritor argentino;1911;2011;https://proverbia.net/autor/frases-de-ernesto-sabato
Joaquín Sabina;Cantautor y poeta español;1949;?;https://proverbia.net/autor/frases-de-joaquin-sabina
Jaime Sabines;Poeta y político mexicano;1926;1999;https://proverbia.net/autor/frases-de-jaime-sabines
Javier Sádaba;Filósofo español;1940;?;https://proverbia.net/autor/frases-de-javier-sadaba
Marqués de Sade;Escritor francés;1740;1814;https://proverbia.net/autor/frases-de-marques-de-sade
Françoise Sagan;Escritora francesa;1935;2004;https://proverbia.net/autor/frases-de-francoise-sagan
Carl Sagan;Astrónomo estadounidense;1934;1996;https://proverbia.net/autor/frases-de-carl-sagan
Jacques H. Bernardin de Saint Pierre;Escritor y botánico frances;1734;1814;https://proverbia.net/autor/frases-de-jacques-h-bernardin-de-saint-pierre
Antoine de Saint-Exupéry;Escritor francés;1900;1944;https://proverbia.net/autor/frases-de-antoine-de-saintexupery
Henry Saint-John;Estadista y escritor inglés;1678;1751;https://proverbia.net/autor/frases-de-henry-saintjohn
Louis de Saint-Just;Político revolucionario francés;1767;1794;https://proverbia.net/autor/frases-de-louis-de-saintjust
Charles Augustin Sainte-Beuve;Escritor y crítico literario francés;1804;1869;https://proverbia.net/autor/frases-de-charles-augustin-saintebeuve
Tayeb Saleh;Escritor sudanés;1929;2009;https://proverbia.net/autor/frases-de-tayeb-saleh
Eustorgio Salgar;Militar y político colombiano;1831;1885;https://proverbia.net/autor/frases-de-eustorgio-salgar
Jonas Edward Salk;Médico y epidemiólogo estadounidense;1914;1995;https://proverbia.net/autor/frases-de-jonas-edward-salk
Salomón;Rey de Israel;970 AC;931 AC;https://proverbia.net/autor/frases-de-salomon
Salustio;Caius Sallustius Crispus Historiador latino.;83 AC;35 AC;https://proverbia.net/autor/frases-de-salustio
Félix María de Samaniego;Escritor español;1745 ;1801;https://proverbia.net/autor/frases-de-felix-maria-de-samaniego
José Luis Sampedro;Escritor y economista español;1917;2013;https://proverbia.net/autor/frases-de-jose-luis-sampedro
Paul Samuelson;Economista estadounidense;1915;2009;https://proverbia.net/autor/frases-de-paul-samuelson
San Agustín;Obispo y filósofo;354;430;https://proverbia.net/autor/frases-de-san-agustin
San Bernardo de Claraval;Eclesiástico francés;1091;1153;https://proverbia.net/autor/frases-de-san-bernardo-de-claraval
San Francisco de Sales;Obispo y Doctor de la Iglesia;1567;1622;https://proverbia.net/autor/frases-de-san-francisco-de-sales
San Jerónimo;Traductor latino;340;420;https://proverbia.net/autor/frases-de-san-jeronimo
San Juan;;;;https://proverbia.net/autor/frases-de-san-juan
San Juan de la Cruz;Poeta místico y religioso español;1542;1591;https://proverbia.net/autor/frases-de-san-juan-de-la-cruz
José de San Martín;Militar y político argentino;1778;1850;https://proverbia.net/autor/frases-de-jose-de-san-martin
San Pablo;Primer teólogo del cristianismo y el más important;10;62;https://proverbia.net/autor/frases-de-san-pablo
Fernando Sánchez Dragó;Escritor español;1936;?;https://proverbia.net/autor/frases-de-fernando-sanchez-drago
George Sand;Escritora francesa;1804;1876;https://proverbia.net/autor/frases-de-george-sand
Carl Sandburg;Poeta, historiador y novelista estadounidense;1878;1967;https://proverbia.net/autor/frases-de-carl-sandburg
Jules Sandeau;Novelista francés;1811;1883;https://proverbia.net/autor/frases-de-jules--sandeau
Joseph Sanial-Dubay;Escritor francés;1754;1817;https://proverbia.net/autor/frases-de-joseph-sanialdubay
Santa Catalina de Siena;Religiosa italiana;1347;1380;https://proverbia.net/autor/frases-de-santa-catalina-de-siena
Santa Teresa de Jesús;Escritora mística española;1515;1582;https://proverbia.net/autor/frases-de-santa-teresa-de-jesus
George Santayana;Filósofo y escritor español;1863;1952;https://proverbia.net/autor/frases-de-george-santayana
Gonzalo Santonja;Escritor y crítico literario español;1952;?;https://proverbia.net/autor/frases-de-gonzalo-santonja
Moritz Gottlieb Saphir;Escritor alemán;1795;1858;https://proverbia.net/autor/frases-de-moritz-gottlieb-saphir
RobertoSapriza;;;;https://proverbia.net/autor/frases-de-roberto-sapriza
José Saramago;Escritor portugués;1922;2010;https://proverbia.net/autor/frases-de-jose-saramago
Jean Paul Sartre;Filósofo y escritor francés;1905;1980;https://proverbia.net/autor/frases-de-jean-paul-sartre
Fernando Savater;Filósofo español;1947;?;https://proverbia.net/autor/frases-de-fernando-savater
Jean Baptiste Say;Economista francés;1767;1832;https://proverbia.net/autor/frases-de-jean-baptiste-say
RenéSchenker;;;;https://proverbia.net/autor/frases-de-rene-schenker
Friedrich Schiller;Poeta y dramaturgo alemán;1759;1805;https://proverbia.net/autor/frases-de-friedrich-schiller
Eric Schmidt;Empresario y informático estadounidense;1955;?;https://proverbia.net/autor/frases-de-eric-schmidt
Carl Schmitt;Filósofo y político alemán;1888;1985;https://proverbia.net/autor/frases-de-carl-schmitt
RomySchneider;;;;https://proverbia.net/autor/frases-de-romy-schneider
Arthur Schnitzler;Dramaturgo austríaco;1862;1931;https://proverbia.net/autor/frases-de-arthur-schnitzler
Arthur Schopenhauer;Filósofo alemán;1788;1860;https://proverbia.net/autor/frases-de-arthur-schopenhauer
Franz Schubert;Compositor austríaco;1797;1828;https://proverbia.net/autor/frases-de-franz-schubert
Charles M. Schulz;Dibujante estadounidense;1922;2000;https://proverbia.net/autor/frases-de-charles-m-schulz
Robert Schumann;Compositor alemán;1810;1856;https://proverbia.net/autor/frases-de-robert-schumann
Albert Schweitzer;Filósofo, médico y escritor alemán;1875;1965;https://proverbia.net/autor/frases-de-albert-schweitzer
Ettore Scola;Director de cine y escritor italiano;1931;?;https://proverbia.net/autor/frases-de-ettore-scola
Walter Scott;Escritor británico;1771;1832;https://proverbia.net/autor/frases-de-walter-scott
Madeleine de Scudéry;Novelista francesa;1607;1701;https://proverbia.net/autor/frases-de-madeleine-de-scudery
Camille Sée;Político y abogado francés;1847;1919;https://proverbia.net/autor/frases-de-camille-see
Yorgos Seferis;Poeta y diplomático griego;1900;1971;https://proverbia.net/autor/frases-de-yorgos-seferis
Dan Seligman;;Columnista de la revista Forbes.;;https://proverbia.net/autor/frases-de-dan-seligman
Walter C. Sellar;Humorista británico;1898;1951;https://proverbia.net/autor/frases-de-walter-c-sellar
Ramón J. Sénder;Escritor español;1902;1982;https://proverbia.net/autor/frases-de-ramon-j-sender
Séneca;Filósofo latino;2 AC;65;https://proverbia.net/autor/frases-de-seneca
J.P.Sergent;;;;https://proverbia.net/autor/frases-de-jp-sergent
Joan Manuel Serrat;Cantautor español;1943;?;https://proverbia.net/autor/frases-de-joan-manuel-serrat
