name;info;birth;demise;dataUrl
Antonio Tabucchi;Escritor italiano;1943;2012;https://proverbia.net/autor/frases-de-antonio-tabucchi
Tácito;Historiador romano;55;115;https://proverbia.net/autor/frases-de-tacito
Rabindranath Tagore;Filósofo y escritor indio;1861;1941;https://proverbia.net/autor/frases-de-rabindranath-tagore
Li Tai-Po;Poeta chino;701;762;https://proverbia.net/autor/frases-de-li-taipo
Hipólito Taine;Escritor francés;1828;1893;https://proverbia.net/autor/frases-de-hipolito-taine
Tales de Mileto;Filósofo y matemático griego;624 AC;546 AC;https://proverbia.net/autor/frases-de-tales-de-mileto
Charles Maurice Talleyrand;Diplomático y estadista francés;1754;1838;https://proverbia.net/autor/frases-de-charles-maurice-talleyrand
Susanna Tamaro;Novelista italiana;1957;?;https://proverbia.net/autor/frases-de-susanna-tamaro
Antoni Tapies;Pintor español;1923;2012;https://proverbia.net/autor/frases-de-antoni-tapies
Elizabeth Taylor;Actriz británica;1932;2011;https://proverbia.net/autor/frases-de-elizabeth-taylor
Piotr Ilich Tchaikovski;Compositor ruso;1840;1893;https://proverbia.net/autor/frases-de-piotr-ilich-tchaikovski
Juan Teba;;Periodista español.;;https://proverbia.net/autor/frases-de-juan-teba
Alfred Tennyson;Poeta inglés;1809;1892;https://proverbia.net/autor/frases-de-alfred-tennyson
Terencio;Autor cómico latino;195 AC;159 AC;https://proverbia.net/autor/frases-de-terencio
Madre Teresa de Calcuta;Misionera de origen albanés naturalizada india;1910;1997;https://proverbia.net/autor/frases-de-madre-teresa-de-calcuta
Osvaldo Terranova;Actor argentino;1923;1984;https://proverbia.net/autor/frases-de-osvaldo-terranova
Nikola Tesla;Físico, matemático e ingeniero eléctrico serbio;1856;1943;https://proverbia.net/autor/frases-de-nikola-tesla
LeThangh Tonh;;;;https://proverbia.net/autor/frases-de-le-thangh-tonh
Margaret Thatcher;Ex-primer ministro de Inglaterra;1925;2013;https://proverbia.net/autor/frases-de-margaret-thatcher
Adolphe Thiers;Político e historiador francés;1797;1877;https://proverbia.net/autor/frases-de-adolphe-thiers
Thiessen;;;;https://proverbia.net/autor/frases-de-thiessen
Dylan Thomas;Poeta, escritor de cuentos y dramaturgo británico;1914;1953;https://proverbia.net/autor/frases-de-dylan-thomas
Eduard Thomas;Escritor británico;1878;1917;https://proverbia.net/autor/frases-de-eduard-thomas
Henry David Thoreau;Escritor, poeta y pensador;1817;1862;https://proverbia.net/autor/frases-de-henry-david-thoreau
James Thurber;Humorista y dibujante estadounidense;1894;1961;https://proverbia.net/autor/frases-de-james-thurber
Tiberio;Emperador romano;42 AC;37;https://proverbia.net/autor/frases-de-tiberio
Christoph A. Tiedge;Poeta alemán;1752;1841;https://proverbia.net/autor/frases-de-christoph-a-tiedge
Enrique Tierno Galván;Político e intelectual español;1918;1986;https://proverbia.net/autor/frases-de-enrique-tierno-galvan
Alexis Tocqueville;Político e historiador francés;1805;1859;https://proverbia.net/autor/frases-de-alexis-tocqueville
G.Tohre;;;;https://proverbia.net/autor/frases-de-g-tohre
J. R. R. Tolkien;Escritor británico;1892;1973;https://proverbia.net/autor/frases-de-j-r-r-tolkien
Alexei Tolstoi;Novelista soviético;1882;1945;https://proverbia.net/autor/frases-de-alexei-tolstoi
Leon Tolstoi;Escritor ruso;1828;1910;https://proverbia.net/autor/frases-de-leon-tolstoi
Giuseppe Tomasi di Lampedusa;Escritor italiano;1896;1957;https://proverbia.net/autor/frases-de-giuseppe-tomasi-di-lampedusa
Nicolás Tommaseo;Escritor y lingüista italiano;1802;1874;https://proverbia.net/autor/frases-de-nicolas-tommaseo-
Alonso de laTorre;;;;https://proverbia.net/autor/frases-de-alonso-de-la-torre
Gonzalo Torrente Ballester;Escritor español;1910;1999;https://proverbia.net/autor/frases-de-gonzalo-torrente-ballester
Maruja Torres;Periodista española;1943;?;https://proverbia.net/autor/frases-de-maruja-torres
Paul Jean Toulet;Escritor y crítico francés;1867;1920;https://proverbia.net/autor/frases-de-paul-jean-toulet
A. de laTour Chambly;;;;https://proverbia.net/autor/frases-de-a-de-la-tour-chambly
Alain Touraine;Sociólogo francés;1925;?;https://proverbia.net/autor/frases-de-alain-touraine
Achile Tournier;Escritor francés;1847;1906;https://proverbia.net/autor/frases-de-achile-tournier
Arnold J. Toynbee;Historiador inglés;1889;1975;https://proverbia.net/autor/frases-de-arnold-j-toynbee
GeorgeTravelyan;;;;https://proverbia.net/autor/frases-de-george-travelyan
Eugenio Trias;Filósofo español;1942;?;https://proverbia.net/autor/frases-de-eugenio-trias
Elsa Triolet;Novelista francesa;1896;1970;https://proverbia.net/autor/frases-de-elsa-triolet
Flora Tristan;Revolucionaria francesa;1803;1844;https://proverbia.net/autor/frases-de-flora-tristran
Cristina Trivulzio di Belgioioso;Escritora italiana;1808;1871;https://proverbia.net/autor/frases-de-cristina-trivulzio-di-belgioioso
León Trotski;Político y teórico revolucionario ruso,;1879;1940;https://proverbia.net/autor/frases-de-leon--trotski
Fernando Trueba;Director de cine español;1955;?;https://proverbia.net/autor/frases-de-fernando-trueba
François Truffaut;Director y actor francés;1932;1984;https://proverbia.net/autor/frases-de-francois-truffaut
Konstantín Eduardovich Tsiolkovski;Científico e inventor ruso;1857;1935;https://proverbia.net/autor/frases-de-konstantin-eduardovich-tsiolkovski-
KurtTucholsky;;;;https://proverbia.net/autor/frases-de-kurt-tucholsky
Tucídides;Historiador ateniense;460 AC;396 AC;https://proverbia.net/autor/frases-de-tucidides
Anne Robert Jacques Turgot;Político y economista frances;1727;1781;https://proverbia.net/autor/frases-de-anne-robert-jacques-turgot
Ivan Turgueniev;Escritor ruso;1817;1883;https://proverbia.net/autor/frases-de-ivan-turgueniev
Alan Turing;Lógico y matemático británico;1912;1954;https://proverbia.net/autor/frases-de-alan-turing
Lana Turner;Actriz estadounidense;1920;1995;https://proverbia.net/autor/frases-de-lana-turner
Mark Twain;Escritor y periodista estadounidense;1835;1910;https://proverbia.net/autor/frases-de-mark-twain
