name;info;birth;demise;dataUrl
A. de laTour Chambly;;;;https://proverbia.net/autor/frases-de-a-de-la-tour-chambly
A.Dufresnes;;;;https://proverbia.net/autor/frases-de-a-dufresnes
A.Murphy;;;;https://proverbia.net/autor/frases-de-a-murphy
Abbott Liebling;Periodista estadounidense;1904;1963;https://proverbia.net/autor/frases-de-abbott-liebling
Abraham Lincoln;Político estadounidense;1808;1865;https://proverbia.net/autor/frases-de-abraham-lincoln
Achile Tournier;Escritor francés;1847;1906;https://proverbia.net/autor/frases-de-achile-tournier
Achille Chavée;Poeta belga;1906;1969;https://proverbia.net/autor/frases-de-achille-chavee
Adam Smith;Filósofo y economista escocés;1723;1790;https://proverbia.net/autor/frases-de-adam-smith
Adelaida García Morales;Escritora española;1937;?;https://proverbia.net/autor/frases-de-adelaida-garcia-morales
Adolf Hitler;Dictador de la Alemania nazi;1889;1945;https://proverbia.net/autor/frases-de-adolf-hitler
Adolfo Bioy Casares;Escritor argentino;1914;1999;https://proverbia.net/autor/frases-de-adolfo-bioy-casares
Adolfo Marsillach;Director y dramaturgo español;1928;2002;https://proverbia.net/autor/frases-de-adolfo-marsillach
Adolphe Thiers;Político e historiador francés;1797;1877;https://proverbia.net/autor/frases-de-adolphe-thiers
Agatha Christie;Novelista inglesa;1891;1976;https://proverbia.net/autor/frases-de-agatha-christie
Agatón;Dramaturgo griego;448AC;401AC;https://proverbia.net/autor/frases-de-agaton
Agustín García Calvo;Filósofo, filólogo y escritor español;1926;2012;https://proverbia.net/autor/frases-de-agustin-garcia-calvo
Alain;Filósofo y ensayista francés;1868;1951;https://proverbia.net/autor/frases-de-alain
Alain Touraine;Sociólogo francés;1925;?;https://proverbia.net/autor/frases-de-alain-touraine
Alan Turing;Lógico y matemático británico;1912;1954;https://proverbia.net/autor/frases-de-alan-turing
Albert Camus;Escritor francés;1913;1960;https://proverbia.net/autor/frases-de-albert-camus
Albert Einstein;Científico alemán nacionalizado estadounidense;1879;1955;https://proverbia.net/autor/frases-de-albert-einstein
Albert Guinon;Dramaturgo francés;1863;1923;https://proverbia.net/autor/frases-de-albert-guinon
Albert Pike;Abogado y escritor estadounidense;1809;1891;https://proverbia.net/autor/frases-de-albert-pike
Albert Schweitzer;Filósofo, médico y escritor alemán;1875;1965;https://proverbia.net/autor/frases-de-albert-schweitzer
Alberto Durero;Artista alemán, una de las figuras más importantes;1471;1528;https://proverbia.net/autor/frases-de-alberto-durero
Alberto Lleras Camargo;Político, periodista y diplomático colombiano;1906;1990;https://proverbia.net/autor/frases-de-alberto-lleras-camargo
Alberto Moravia;Alberto Pincherle Escritor italiano.;1907;1990;https://proverbia.net/autor/frases-de-alberto-moravia
Aldous Huxley;Novelista, ensayista y poeta inglés;1894;1963;https://proverbia.net/autor/frases-de-aldous-huxley
Alec Guinnes;Actor inglés;1914;1989;https://proverbia.net/autor/frases-de-alec-guinnes
Alejandro Casona;Dramaturgo español;1903;1965;https://proverbia.net/autor/frases-de-alejandro-casona
