name;info;birth;demise;dataUrl
Montserrat Caballé;Cantante de ópera española;1933;?;https://proverbia.net/autor/frases-de-montserrat-caballe
James Branch Cabell;Escritor americano;1879;1958;https://proverbia.net/autor/frases-de-james-branch-cabell
Facundo Cabral;Cantautor argentino;1937;2011;https://proverbia.net/autor/frases-de-facundo-cabral
John Cage;Compositor estadounidense;1912;1992;https://proverbia.net/autor/frases-de-john-cage
José O.Caldas;;;;https://proverbia.net/autor/frases-de-jose-o-caldas
Pedro Calderón de la Barca;Dramaturgo y poeta español;1600;1681;https://proverbia.net/autor/frases-de-pedro-calderon-de-la-barca
Erskine Caldwell;Escritor estadounidense;1903;1987;https://proverbia.net/autor/frases-de-erskine-caldwell
George Calinescu;Novelista, dramaturgo y poeta rumano;1899;1965;https://proverbia.net/autor/frases-de-george-calinescu
Italo Calvino;Escritor italiano;1923;1985;https://proverbia.net/autor/frases-de-italo-calvino
Marcelino Camacho;Sindicalista y político español;1918;2010;https://proverbia.net/autor/frases-de-marcelino-camacho
William Camden;Anticuario e historiador inglés;1551;1623;https://proverbia.net/autor/frases-de-william-camden
Manuel Campo Vidal;Periodista español;1951;?;https://proverbia.net/autor/frases-de-manuel-campo-vidal
Ramón de Campoamor;Poeta español;1817;1901;https://proverbia.net/autor/frases-de-ramon-de-campoamor
Victoria Camps;Filósofa española;1941;?;https://proverbia.net/autor/frases-de-victoria-camps
Albert Camus;Escritor francés;1913;1960;https://proverbia.net/autor/frases-de-albert-camus
Cándido;Escritor y periodista español;1928;2006;https://proverbia.net/autor/frases-de-candido
Elías Canetti;Autor búlgaro en lengua alemana;1905;1994;https://proverbia.net/autor/frases-de-elias-canetti
Antonio Cánovas del Castillo;Político, historiador y escritor español;1828;1897;https://proverbia.net/autor/frases-de-antonio-canovas-del-castillo
EddyCantor;;;;https://proverbia.net/autor/frases-de-eddy-cantor
Cesare Cantù;Historiador italiano;1804;1895;https://proverbia.net/autor/frases-de-cesare-cant%C3%B9
Truman Capote;Escritor estadounidense;1924;1984;https://proverbia.net/autor/frases-de-truman-capote
Frank Capra;Director de cine estadounidense;1897;1991;https://proverbia.net/autor/frases-de-frank-capra
Louis-Antoine Caraccioli;Escritor y poeta francés;1719;1803;https://proverbia.net/autor/frases-de-louisantoine-caraccioli
Guy Carcassonne;Jurista francés;1951;?;https://proverbia.net/autor/frases-de-guy-carcassonne
Ernesto Cardenal;Poeta, político y sacerdote nicaragüense;1925;?;https://proverbia.net/autor/frases-de-ernesto-cardenal
Sorcha Carey;Profesora de arte clásico inglés;1943;?;https://proverbia.net/autor/frases-de-sorcha-carey
Carlomagno;;;;https://proverbia.net/autor/frases-de-carlomagno
Carlos I;Rey de España (1516-1556);1500;1558;https://proverbia.net/autor/frases-de-carlos-i
Thomas Carlyle;Historiador, pensador y ensayista inglés;1795;1881;https://proverbia.net/autor/frases-de-thomas-carlyle
Dale Carnegie;Empresario y escritor estadounidense;1888;1955;https://proverbia.net/autor/frases-de-dale-carnegie
Alejo Carpentier;Escritor cubano;1904;1980;https://proverbia.net/autor/frases-de-alejo-carpentier
Alexis Carrel;Biólogo y médico francés;1873;1944;https://proverbia.net/autor/frases-de-alexis-carrel
Santiago Carrillo;Político español;1915;2012;https://proverbia.net/autor/frases-de-santiago-carrillo
James Carroll;Escritor estadounidense;1943;?;https://proverbia.net/autor/frases-de-james-carroll
Lewis Carroll;Matemático y escritor británico;1832;1898;https://proverbia.net/autor/frases-de-lewis-carroll
Hodding Carter;Periodista y autor estadounidense;1907;1972;https://proverbia.net/autor/frases-de-hodding--carter
