name;info;birth;demise;dataUrl
Jean Le Rond D' Alembert;Filósofo, físico y matemático francés;1717;1783;https://proverbia.net/autor/frases-de-jean-le-rond-d-alembert
Alfred d' Houdetot;Escritor francés;1799;1869;https://proverbia.net/autor/frases-de-alfred-d-houdetot
Jules d'Aurevilly;Novelista y crítico francés;1808;1889;https://proverbia.net/autor/frases-de-jules--daurevilly
Eugeni d'Ors;Escritor y periodista español;1882;1954;https://proverbia.net/autor/frases-de-eugeni-dors
Leonardo Da Vinci;Pintor, escultor e inventor italiano;1452;1519;https://proverbia.net/autor/frases-de-leonardo-da-vinci
Roald Dahl;Escritor británico;1916;1990;https://proverbia.net/autor/frases-de-roald-dahl
Dalai Lama;;;;https://proverbia.net/autor/frases-de-dalai-lama
Salvador Dalí;Pintor y escultor español;1904;1989;https://proverbia.net/autor/frases-de-salvador-dali
Aquiles Dalseme;Periodista francés;1840;1913;https://proverbia.net/autor/frases-de-aquiles-dalseme
Charles Anderson Dana;Editor y periodista estadounidense;1819;1897;https://proverbia.net/autor/frases-de-charles-anderson-dana
Rubén Darío;Poeta y periodista nicaragüense;1867;1916;https://proverbia.net/autor/frases-de-ruben-dario
Clarence S. Darrow;Abogado estadounidense;1857;1938;https://proverbia.net/autor/frases-de-clarence-s-darrow
Charles Darwin;Científico británico;1809;1882;https://proverbia.net/autor/frases-de-charles-darwin
Alphonse Daudet;Escritor francés;1840;1897;https://proverbia.net/autor/frases-de-alphonse-daudet
León Daudet;Periodista y novelista francés;1867;1942;https://proverbia.net/autor/frases-de-leon-daudet
León Daudí;Escritor español;1905;1985;https://proverbia.net/autor/frases-de-leon-daudi
Bette Davis;Actriz estadounidense;1908;1989;https://proverbia.net/autor/frases-de-bette-davis
Miles Davis;Músico de jazz estadounidense;1926;1991;https://proverbia.net/autor/frases-de-miles-davis
Angela Davis;Política, activista y profesora estadounidense;1944;?;https://proverbia.net/autor/frases-de-angela-davis
Moshe Dayan;Militar y político israelí;1915;1981;https://proverbia.net/autor/frases-de-moshe-dayan
E.de Geibel;;;;https://proverbia.net/autor/frases-de-e-de-geibel
Charles Paul de Kock;Escritor francés;1793;1871;https://proverbia.net/autor/frases-de-charles-paul-de-kock
Fray Luis de León;Poeta, humanista y traductor español;1527;1591;https://proverbia.net/autor/frases-de-fray-luis-de-leon
Thomas De Quincey;Escritor inglés;1785;1859;https://proverbia.net/autor/frases-de-thomas-de-quincey
Cardenal de Retz;Político y memorialista francés;1613;1679;https://proverbia.net/autor/frases-de-cardenal-de-retz
Peter de Vries;Editor y novelista estadounidense;1910;1993;https://proverbia.net/autor/frases-de-peter-de-vries
Claude Debussy;Compositor francés;1862;1918;https://proverbia.net/autor/frases-de-claude-debussy
Daniel Defoe;Novelista y periodista inglés;1660;1731;https://proverbia.net/autor/frases-de-daniel-defoe
Edgar Degas;Pintor francés;1834;1917;https://proverbia.net/autor/frases-de-edgar-degas
Eugène Delacroix;Pintor francés;1798;1863;https://proverbia.net/autor/frases-de-eugene-delacroix
Casimir Delavigne;Poeta y dramaturgo francés;1793;1843;https://proverbia.net/autor/frases-de-casimir-delavigne
Miguel Delibes;Escritor español;1920;2010;https://proverbia.net/autor/frases-de-miguel-delibes
Demetrio de Falero;Orador, filósofo y gobernante ateniense;350 AC;280 AC;https://proverbia.net/autor/frases-de-demetrio-de-falero
Demócrito de Abdera;Filósofo griego;460 AC;370 AC;https://proverbia.net/autor/frases-de-democrito-de-abdera
Demonax;Filósofo cínico griego;70;170;https://proverbia.net/autor/frases-de-demonax
Demóstenes;Político ateniense;384 AC;322 AC;https://proverbia.net/autor/frases-de-demostenes
Jacques Derrida;Filósofo francés;1930;2004;https://proverbia.net/autor/frases-de-jacques-derrida
René Descartes;Filósofo y matemático francés;1596;1650;https://proverbia.net/autor/frases-de-rene-descartes
John Dewey;Filósofo estadounidense;1859;1952 ;https://proverbia.net/autor/frases-de-john-dewey
Philip K. Dick;Escritor y novelista estadounidense;1928;1982;https://proverbia.net/autor/frases-de-philip-k-dick
Charles Dickens;Escritor y novelista inglés;1812;1870;https://proverbia.net/autor/frases-de-charles-dickens
Emily Dickinson;Poetisa estadounidense;1830;1886;https://proverbia.net/autor/frases-de-emily-dickinson
Denis Diderot;Escritor francés;1713;1784;https://proverbia.net/autor/frases-de-denis-diderot
Gerardo Diego;Poeta español;1896;1987;https://proverbia.net/autor/frases-de-gerardo-diego
Marlene Dietrich;Actriz y cantante alemana;1901;1992;https://proverbia.net/autor/frases-de-marlene-dietrich
Diógenes de Sínope;Filósofo griego;412 AC;323 AC;https://proverbia.net/autor/frases-de-diogenes-de-sinope
Diógenes Laercio;Historiador griego;S. III AC;?;https://proverbia.net/autor/frases-de-diogenes-laercio
Dionisio de Halicarnaso;Historiador griego;60 AC;10;https://proverbia.net/autor/frases-de-dionisio-de-halicarnaso
Ana Diosdado;Actriz y dramaturga española;1939;?;https://proverbia.net/autor/frases-de-ana-diosdado
Benjamin Disraeli;Estadista ingles;1804;1881;https://proverbia.net/autor/frases-de-benjamin-disraeli
Antonio Francesco Doni;Escritor italiano;1513;1574;https://proverbia.net/autor/frases-de-antonio-francesco-doni
John Donne;Poeta, prosista y clérigo inglés;1572;1631;https://proverbia.net/autor/frases-de-john-donne
Juan Donoso Cortés;Ensayista español;1809;1853;https://proverbia.net/autor/frases-de-juan-donoso-cortes
John Dos Passos;Novelista y periodista estadounidense;1896;1970;https://proverbia.net/autor/frases-de-john-dos-passos
Carlo Dossi;Escritor italiano;1849;1910;https://proverbia.net/autor/frases-de-carlo-dossi
Fiodor Dostoievski;Novelista ruso;1821;1881;https://proverbia.net/autor/frases-de-fiodor-dostoievski
Kirk Douglas;Actor estadounidense;1916;?;https://proverbia.net/autor/frases-de-kirk-douglas
Frederick Douglass;Escritor estadounidense;1818;1895;https://proverbia.net/autor/frases-de-frederick-douglass
Gustave Droz;Escritor francés;1832;1895;https://proverbia.net/autor/frases-de-gustave-droz
Peter Drucker;Escritor y consultor austriaco;1909;2005;https://proverbia.net/autor/frases-de-peter-drucker
John Dryden;Escritor inglés;1631;1700;https://proverbia.net/autor/frases-de-john-dryden
Dame Daphne du Maurier;Novelista y dramaturga británica;1907;1989;https://proverbia.net/autor/frases-de-dame-daphne-du-maurier
Jean Dubuffet;Pintor y escultor francés;1901;1985;https://proverbia.net/autor/frases-de-jean-dubuffet
George Duby;Historiador francés;1919;1996;https://proverbia.net/autor/frases-de-george-duby
Marcel Duchamp;Pintor francés;1887;1968;https://proverbia.net/autor/frases-de-marcel-duchamp
Charles Pinot Duclós;Escritor francés;1704;1772;https://proverbia.net/autor/frases-de-charles-pinot-duclos
A.Dufresnes;;;;https://proverbia.net/autor/frases-de-a-dufresnes
Georges Duhamel;Escritor francés;1884;1966;https://proverbia.net/autor/frases-de-georges-duhamel
Alejandro Dumas;Escritor francés;1802;1870;https://proverbia.net/autor/frases-de-alejandro-dumas
Alejandro Dumas (hijo);Escritor francés;1824;1895;https://proverbia.net/autor/frases-de-alejandro-dumas-hijo
Louis Dumur;Escritor suizo;1863;1933;https://proverbia.net/autor/frases-de-louis-dumur
Isadora Duncan;Bailarina estadounidense;1877;1927;https://proverbia.net/autor/frases-de-isadora-duncan
Louis Emmanuel Dupaty;Dramaturgo francés;1775;1851;https://proverbia.net/autor/frases-de-louis-emmanuel-dupaty
Will Durant;Escritor y filósofo estadounidense;1885;1981;https://proverbia.net/autor/frases-de-will-durant
Marguerite Duras;Novelista y guionista francesa;1914;1996;https://proverbia.net/autor/frases-de-marguerite-duras
Alberto Durero;Artista alemán, una de las figuras más importantes;1471;1528;https://proverbia.net/autor/frases-de-alberto-durero
Friedrich Dürrenmatt;Escritor suizo;1921;1990;https://proverbia.net/autor/frases-de-friedrich-d%C3%BCrrenmatt
Wayne W. Dyer;Escritor estadounidense;1940;2015;https://proverbia.net/autor/frases-de-wayne-w-dyer
Bob Dylan;Cantautor, compositor y músico estadounidense;1941;?;https://proverbia.net/autor/frases-de-bob-dylan
