name;info;birth;demise;dataUrl
José María Eça de Queirós;Novelista portugués;1845;1900;https://proverbia.net/autor/frases-de-jose-maria-eca-de-queiros
Fritz Eckhardt;Actor y autor austriaco;1907;1995;https://proverbia.net/autor/frases-de-fritz-eckhardt
Umberto Eco;Escritor italiano;1932;2016;https://proverbia.net/autor/frases-de-umberto-eco
Harold E. Edgerton;Ingeniero y profesor estadounidense;1903;1990;https://proverbia.net/autor/frases-de-harold-e-edgerton
Thomas Alva Edison;Físico e inventor estadounidense;1847;1931;https://proverbia.net/autor/frases-de-thomas-alva-edison
Oleg Efremov;Actor y productor ruso;1927;2000;https://proverbia.net/autor/frases-de-oleg-efremov
Albert Einstein;Científico alemán nacionalizado estadounidense;1879;1955;https://proverbia.net/autor/frases-de-albert-einstein
El Talmud;;;;https://proverbia.net/autor/frases-de-el-talmud
George Eliot;Seudónimo de Mary Anne Evans Novelista británica.;1819;1880;https://proverbia.net/autor/frases-de-george-eliot
T. S. Eliot;Poeta, dramaturgo y crítico literario;1888;1965;https://proverbia.net/autor/frases-de-t-s-eliot
Duke Ellington;Compositor y músico de jazz estadounidense;1899;1974;https://proverbia.net/autor/frases-de-duke-ellington
Paul Eluard;Poeta francés;1895;1952;https://proverbia.net/autor/frases-de-paul-eluard
Emerson;Poeta y pensador estadounidense;1803;1882;https://proverbia.net/autor/frases-de-emerson
Johann J. Engel;Escritor alemán;1741;1802;https://proverbia.net/autor/frases-de-johann-j-engel
Pedro Laín Entralgo;Escritor español;1908;2001;https://proverbia.net/autor/frases-de-pedro-lain-entralgo
Nora Ephron;Guionista y directora de cine estadounidense;1941;2012;https://proverbia.net/autor/frases-de-nora-ephron
Epicteto de Frigia;Filósofo grecolatino;55;135;https://proverbia.net/autor/frases-de-epicteto-de-frigia
Epicuro de Samos;Filósofo griego;341 AC;270 AC;https://proverbia.net/autor/frases-de-epicuro-de-samos
Erasmo de Rotterdam;Humanista neerlandés;1469;1536;https://proverbia.net/autor/frases-de-erasmo-de-rotterdam
Alonso de Ercilla y Zúñiga;Escritor español;1533;1594;https://proverbia.net/autor/frases-de-alonso-de-ercilla-y-zuniga
Max Ernst;Pintor y escultor alemán;1891;1976;https://proverbia.net/autor/frases-de-max-ernst
Esopo;Fabulista griego;S. VII aC;S. VII aC;https://proverbia.net/autor/frases-de-esopo
Nuria Espert;Escenógrafa y actriz española;1926;?;https://proverbia.net/autor/frases-de-nuria-espert
Vicente Espinel;Escritor español;1550;1624;https://proverbia.net/autor/frases-de-vicente-espinel
José de Espronceda;Poeta español;1808;1842;https://proverbia.net/autor/frases-de-jose-de-espronceda
Esquilo de Eleusis;Poeta trágico;525 AC;456 AC;https://proverbia.net/autor/frases-de-esquilo-de-eleusis
Estrabón de Amasia;Geógrafo e historiador griego;63 AC;19;https://proverbia.net/autor/frases-de-estrabon-de-amasia
Eurípides de Salamina;Poeta trágico griego;480 AC;406 AC;https://proverbia.net/autor/frases-de-euripides-de-salamina
Lucía Extebarria;Escritora española;1966;?;https://proverbia.net/autor/frases-de-lucia-extebarria
