name;info;birth;demise;dataUrl
Clifton Paul Fadiman;Escritor, editor y crítico estadounidense;1904;1999;https://proverbia.net/autor/frases-de-clifton-paul-fadiman
Amintore Fanfani;Político y economista italiano;1908;1999;https://proverbia.net/autor/frases-de-amintore-fanfani
William Faulkner;Escritor estadounidense;1897;1962;https://proverbia.net/autor/frases-de-william-faulkner
Enrique Ernesto Febbraro;Escritor argentino;1924;?;https://proverbia.net/autor/frases-de-enrique-ernesto--febbraro
Federico II;Emperador de Prusia;1712;1786;https://proverbia.net/autor/frases-de-federico-ii
Fedro;Fabulista latino;15 AC;50;https://proverbia.net/autor/frases-de-fedro
Benito Jerónimo Feijoó;Filósofo y escritor español;1676;1764;https://proverbia.net/autor/frases-de-benito-jeronimo-feijoo
León Felipe;Poeta español;1884;1968;https://proverbia.net/autor/frases-de-leon-felipe
Federico Fellini;Director de cine italiano;1920;1993;https://proverbia.net/autor/frases-de-federico-fellini
Fénelon;Escritor y teólogo francés;1651;1715;https://proverbia.net/autor/frases-de-fenelon
Fernando Fernán Gomez;Actor, director y escritor español;1921;?;https://proverbia.net/autor/frases-de-fernando-fernan-gomez
Wenceslao Fernández Florez;Novelista, periodista y político español;1879;1964;https://proverbia.net/autor/frases-de-wenceslao-fernandez-florez
Baldomero Fernández Moreno;Médico, poeta y escritor argentino;1886;1950;https://proverbia.net/autor/frases-de-baldomero-fernandez-moreno
Jesús Fernández Santos;Escritor y novelista español;1926;1988;https://proverbia.net/autor/frases-de-jesus-fernandez-santos
Guglielmo Ferrero;Periodista y escritor italiano;1871;1942;https://proverbia.net/autor/frases-de-guglielmo-ferrero
Ludwig Feuerbach;Teólogo y politico aleman;1804;1872;https://proverbia.net/autor/frases-de-ludwig-feuerbach
Henry Fielding;Novelista, autor teatral y jurista inglés;1707;1754;https://proverbia.net/autor/frases-de-henry-fielding
W. C. Fields;Actor y cómico estadounidense;1879;1946;https://proverbia.net/autor/frases-de-w-c-fields
Álvaro de Figueroa y Torres;Político español;1863;1950;https://proverbia.net/autor/frases-de-alvaro-de-figueroa-y-torres
Francis Scott Fitzgerald;Escritor estadounidense;1896;1940;https://proverbia.net/autor/frases-de-francis-scott-fitzgerald
Gustave Flaubert;Escritor francés;1821;1880;https://proverbia.net/autor/frases-de-gustave-flaubert
John Fletcher;Dramaturgo británico;1579;1625;https://proverbia.net/autor/frases-de-john-fletcher
Dario Fo;Actor y escritor de teatro italiano;1926;?;https://proverbia.net/autor/frases-de-dario-fo
Focílides;;;;https://proverbia.net/autor/frases-de-focilides
Jane Fonda;Actriz estadounidense;1937;?;https://proverbia.net/autor/frases-de-jane-fonda
Roberto Fontanarrosa;Escritor argentino;1944;2007;https://proverbia.net/autor/frases-de-roberto-fontanarrosa
Bernard Le Bouvier de Fontenelle;Escritor francés;1657;1757;https://proverbia.net/autor/frases-de-bernard-le-bouvier-de-fontenelle
B. C.Forbes;;;;https://proverbia.net/autor/frases-de-b-c-forbes
Henry Ford;Industrial estadounidense;1863;1947;https://proverbia.net/autor/frases-de-henry-ford
Antonio Fraguas Forges;Humorista español;1942;2018;https://proverbia.net/autor/frases-de-antonio-fraguas-forges
Ugo Foscolo;Escritor y poeta italiano;1778;1827;https://proverbia.net/autor/frases-de-ugo-foscolo
Michel Foucault;Historiador de las ideas y filósofo francés;1926;1984;https://proverbia.net/autor/frases-de-michel-foucault
Joseph Fouché;Político francés;1758;1820;https://proverbia.net/autor/frases-de-joseph-fouche
Charles James Fox;Estadista inglés;1749;1806;https://proverbia.net/autor/frases-de-charles-james-fox
Jim Fox;Actor británico;1939;?;https://proverbia.net/autor/frases-de-jim-fox
Anatole France;Escritor francés;1844;1924;https://proverbia.net/autor/frases-de-anatole-france
Francisco Franco Bahamonde;Militar y dictador español;1892;1975;https://proverbia.net/autor/frases-de-francisco-franco-bahamonde
Anne Frank;Niña judía alemana;1929;1945;https://proverbia.net/autor/frases-de-anne-frank
Viktor Frankl;Psiquiatra y psicoterapeuta austriaco;1905;1997;https://proverbia.net/autor/frases-de-viktor-frankl
Benjamin Franklin;Estadista y científico estadounidense;1706;1790;https://proverbia.net/autor/frases-de-benjamin-franklin
Sigmund Freud;Médico austriaco;1856;1939;https://proverbia.net/autor/frases-de-sigmund-freud
Max Frisch;Dramaturgo y novelista suizo;1911;1991;https://proverbia.net/autor/frases-de-max-frisch
Erich Fromm;Psicologo social de estadounidense;1900;1980;https://proverbia.net/autor/frases-de-erich-fromm
David Frost;Presentador de televisión;1939;?;https://proverbia.net/autor/frases-de-david-frost
Robert Frost;Poeta estadounidense;1874;1963;https://proverbia.net/autor/frases-de-robert-frost
Carlos Fuentes;Periodista y escritor mexicano;1929;2012;https://proverbia.net/autor/frases-de-carlos-fuentes
James William Fulbright;Político estadounidense;1905;1995;https://proverbia.net/autor/frases-de-james-william-fulbright
Thomas Fuller;Clérigo y escritor británico;1610;1661;https://proverbia.net/autor/frases-de-thomas-fuller
