name;info;birth;demise;dataUrl
Jostein Gaarder;Escritor y profesor de filosofía noruego;1952;?;https://proverbia.net/autor/frases-de-jostein-gaarder
Zsa Zsa Gabor;Actriz de origen húngaro;1917;2016;https://proverbia.net/autor/frases-de-zsa-zsa-gabor
Antonio Gala;Dramaturgo, poeta y novelista español;1930;?;https://proverbia.net/autor/frases-de-antonio-gala
John Kenneth Galbraith;Econonista estadounidense;1908;2006;https://proverbia.net/autor/frases-de-john-kenneth-galbraith
Eduardo Galeano;Escritor y periodista uruguayo;1940;2015;https://proverbia.net/autor/frases-de-eduardo-galeano
Ferdinand Galiani;Diplomático y economista italiano;1728;1787;https://proverbia.net/autor/frases-de-ferdinand-galiani
Galileo Galilei;Físico y astrónomo italiano;1564;1642;https://proverbia.net/autor/frases-de-galileo-galilei
John Galsworthy;Escritor inglés;1867;1933;https://proverbia.net/autor/frases-de-john-galsworthy
Alejandro Gándara;Escritor español;1957;?;https://proverbia.net/autor/frases-de-alejandro-gandara
Mahatma Gandhi;Político y pensador indio;1869;1948;https://proverbia.net/autor/frases-de-mahatma-gandhi
Indira Gandhi;Estadista y política hindú;1917;1984;https://proverbia.net/autor/frases-de-indira-gandhi
Ángel Ganivet;Escritor, ensayista y narrador español;1865;1898;https://proverbia.net/autor/frases-de-angel-ganivet
Luis García Berlanga;Director de cine español;1921;?;https://proverbia.net/autor/frases-de-luis-garcia-berlanga
Agustín García Calvo;Filósofo, filólogo y escritor español;1926;2012;https://proverbia.net/autor/frases-de-agustin-garcia-calvo
Antonio García Gutiérrez;Dramaturgo español;1813;1884;https://proverbia.net/autor/frases-de-antonio-garcia-gutierrez
Federico García Lorca;Poeta y dramaturgo español;1898;1936;https://proverbia.net/autor/frases-de-federico-garcia-lorca
Gabriel García Márquez;Escritor colombiano;1927;2014;https://proverbia.net/autor/frases-de-gabriel-garcia-marquez
Adelaida García Morales;Escritora española;1937;?;https://proverbia.net/autor/frases-de-adelaida-garcia-morales
Vittorio Gassman;Actor de teatro, cine y televisión italiano;1922;2000;https://proverbia.net/autor/frases-de-vittorio-gassman
