name;info;birth;demise;dataUrl
Eugene O'Neill;Dramaturgo estadounidense;1888;1953;https://proverbia.net/autor/frases-de-eugene-oneill
John Boyle O'Reilly;Poeta y novelista irlandés;1844;1890;https://proverbia.net/autor/frases-de-john-boyle-oreilly
Severo Ochoa;Médico español;1905;1993;https://proverbia.net/autor/frases-de-severo-ochoa
Margaret Oliphant Oliphant;Novelista, escritora y biógrafa escocesa;1828;1897;https://proverbia.net/autor/frases-de-margaret-oliphant-oliphant
Sir Laurence Olivier;Actor, director y productor británico;1907;1989;https://proverbia.net/autor/frases-de-sir-laurence-olivier
Aristóteles Onassis;Magnate y empresario griego;1906;1975;https://proverbia.net/autor/frases-de-aristoteles-onassis
Juan Carlos Onetti;Escritor uruguayo;1909;1994;https://proverbia.net/autor/frases-de-juan-carlos-onetti
Robert Oppenheimer;Físico estadounidense;1904;1967;https://proverbia.net/autor/frases-de-robert--oppenheimer
Joaquín Oristrell;Guionista y director de cine español;1953;?;https://proverbia.net/autor/frases-de-joaquin-oristrell
Olga Orozco;Poetisa argentina;1920;1999;https://proverbia.net/autor/frases-de-olga-orozco
Eugeni d' Ors;Escritor español;1881;1954;https://proverbia.net/autor/frases-de-eugeni-d-ors
José Ortega y Gasset;Filósofo y ensayista español;1883;1955;https://proverbia.net/autor/frases-de-jose-ortega-y-gasset
George Orwell;Escritor británico;1903;1950;https://proverbia.net/autor/frases-de-george-orwell
Ovidio;Poeta latino;43 AC;17;https://proverbia.net/autor/frases-de-ovidio
HildaOwlsley;;;;https://proverbia.net/autor/frases-de-hilda-owlsley
