name;info;birth;demise;dataUrl
Pablo VI;Papa de la iglesia católica;1897;1978;https://proverbia.net/autor/frases-de-pablo-vi
Marcel Pagnol;Cineasta y escritor francés;1895;1974;https://proverbia.net/autor/frases-de-marcel-pagnol
Thomas Paine;Político y publicista estadounidense;1737;1809;https://proverbia.net/autor/frases-de-thomas-paine
Armando Palacio Valdés;Literato español;1853;1938;https://proverbia.net/autor/frases-de-armando-palacio-valdes
Charles Palissot de Montenoy;Dramaturgo francés;1730;1814;https://proverbia.net/autor/frases-de-charles-palissot-de-montenoy
Giovanni Papini;Escritor italiano;1881;1956;https://proverbia.net/autor/frases-de-giovanni-papini
Paracelso;Médico y químico suizo;1493;1541;https://proverbia.net/autor/frases-de-paracelso
Emilia Pardo Bazán;Escritora española;1851;1921;https://proverbia.net/autor/frases-de-emilia-pardo-bazan
Dorothy Parker;Escritora y crítica estadounidense;1893;1967;https://proverbia.net/autor/frases-de-dorothy-parker
Nicanor Parra;Poeta, matemático y físico chileno;1914;?;https://proverbia.net/autor/frases-de-nicanor-parra
Blaise Pascal;Científico, filósofo y escritor francés;1623;1662;https://proverbia.net/autor/frases-de-blaise-pascal
Pier Paolo Pasolini;Escritor y director de cine italiano;1922;1975;https://proverbia.net/autor/frases-de-pier-paolo-pasolini
Boris Pasternak;Poeta y autor ruso;1890;1960;https://proverbia.net/autor/frases-de-boris-leonidovich-pasternak
Louis Pasteur;Químico y microbiólogo francés;1822;1895;https://proverbia.net/autor/frases-de-louis-pasteur
George S. Patton;General estadounidense;1885;1945;https://proverbia.net/autor/frases-de-george-s-patton
VictorPauchet;;;;https://proverbia.net/autor/frases-de-victor-pauchet
Luciano Pavarotti;Tenor italiano;1935;2007;https://proverbia.net/autor/frases-de-luciano-pavarotti
Cesare Pavese;Poeta y novelista italiano;1908;1950;https://proverbia.net/autor/frases-de-cesare-pavese
Anna Pavlova;Bailarina rusa La más célebre de su época.;1881;1931;https://proverbia.net/autor/frases-de-anna-pavlova
Octavio Paz;Poeta y ensayista mexicano;1914;1998;https://proverbia.net/autor/frases-de-octavio-paz
Norman Vincent Peale;Predicador cristiano y escritor;1898;1993;https://proverbia.net/autor/frases-de-norman-vincent-peale
Charles Péguy;Escritor francés;1873;1914;https://proverbia.net/autor/frases-de-charles-peguy
Silvio Pellico;Escritor italiano;1789;1854;https://proverbia.net/autor/frases-de-silvio-pellico
José María Pemán;Escritor español;1898;1981;https://proverbia.net/autor/frases-de-jose-maria-peman
William Penn;Religioso británico;1644;1718;https://proverbia.net/autor/frases-de-william-penn
Daniel Pennac;Escritor francés;1944;?;https://proverbia.net/autor/frases-de-daniel-pennac
James Cash Penny;Comerciante estadounidense;1875;1971;https://proverbia.net/autor/frases-de-james-cash-penny
Peña y Goñi;;1846;1896);https://proverbia.net/autor/frases-de-pena-y-goni
Jose María de Pereda;Escritor español;1833;1906;https://proverbia.net/autor/frases-de-jose-maria-de-pereda
AmauriPérez;;;;https://proverbia.net/autor/frases-de-amauri-perez
Ramón Pérez de Ayala;Escritor y periodista español;1881;1962;https://proverbia.net/autor/frases-de-ramon-perez-de-ayala
Benito Pérez Galdós;Escritor español;1843;1920;https://proverbia.net/autor/frases-de-benito-perez-galdos
Arturo Pérez Reverte;Periodista y escritor español;1951;?;https://proverbia.net/autor/frases-de-arturo-perez-reverte
Guillermo Pérez Villalta;Pintor español;1945;?;https://proverbia.net/autor/frases-de-guillermo-perez-villalta
Jaume Perich;Humorista español;1941;1995;https://proverbia.net/autor/frases-de-jaume-perich
Alessandro Pertini;Político italiano;1896;1990;https://proverbia.net/autor/frases-de-alessandro-pertini
Fernando Pessoa;Poeta portugués;1888;1935;https://proverbia.net/autor/frases-de-fernando-pessoa
Laurence J. Peter;Profesor y escritor canadiense;1919;1990;https://proverbia.net/autor/frases-de-laurence-j-peter
Francesco Petrarca;Poeta italiano;1304;1374;https://proverbia.net/autor/frases-de-francesco-petrarca
