name;info;birth;demise;dataUrl
Juan Valera;Escritor español;1824;1905;https://proverbia.net/autor/frases-de-juan-valera
Paul Valéry;Escritor francés;1871;1945;https://proverbia.net/autor/frases-de-paul-valery
Ramón María del Valle-Inclán;Dramaturgo, poeta y novelista español;1866;1936;https://proverbia.net/autor/frases-de-ramon-maria-del-valleinclan
César Vallejo;Poeta peruano;1892;1938;https://proverbia.net/autor/frases-de-cesar-vallejo
Henry Van Dyke;Escritor estadounidense;1852;1933;https://proverbia.net/autor/frases-de-henry-van-dyke
Vincent Van Gogh;Pintor postimpresionista holandés;1853;1890;https://proverbia.net/autor/frases-de-vincent-van-gogh
Charles Van Lerberghe;Poeta, escritor de cuentos y dramaturgo belga;1861;1907;https://proverbia.net/autor/frases-de-charles-van-lerberghe
Chavela Vargas;Cantante mexicana;1919;?;https://proverbia.net/autor/frases-de-chavela-vargas
Mario Vargas Llosa;Escritor peruano;1936;?;https://proverbia.net/autor/frases-de-mario-vargas-llosa
José María Vargas Vila;Escritor colombiano;1840;1933;https://proverbia.net/autor/frases-de-jose-maria-vargas-vila
José Vasconcelos;Filósofo, educador y político mexicano;1882;1959;https://proverbia.net/autor/frases-de-jose-vasconcelos
Manuel Vázquez Montalbán;Escritor español;1939;2003;https://proverbia.net/autor/frases-de-manuel-vazquez-montalban
Lope de Vega;Poeta, novelista y dramaturgo español;1562;1635;https://proverbia.net/autor/frases-de-lope-de-vega
Vegecio;Escritor romano;S. IV;S. IV;https://proverbia.net/autor/frases-de-vegecio
Bernardo Verbitsky;Poeta, ensayista y periodista argentino;1907;1979;https://proverbia.net/autor/frases-de-bernardo-verbitsky
Emile Verhaeren;Poeta belga;1855;1916;https://proverbia.net/autor/frases-de-emile-verhaeren-
PaulVerhoeven;;;;https://proverbia.net/autor/frases-de-paul-verhoeven
Paul Verlaine;Poeta francés;1844;1895;https://proverbia.net/autor/frases-de-paul-verlaine
Julio Verne;Escritor francés;1828;1905;https://proverbia.net/autor/frases-de-julio-verne
Manuel Vicent;Escritor español;1936;?;https://proverbia.net/autor/frases-de-manuel-vicent
Víctor Manuel;Cantautor español;1947;?;https://proverbia.net/autor/frases-de-victor-manuel
Constancio C. Vigil;Escritor y periodista uruguayo;1876;1954;https://proverbia.net/autor/frases-de-constancio-c-vigil
Alfred Victor de Vigny;Escritor francés;1797;1863;https://proverbia.net/autor/frases-de-alfred-victor-de-vigny
Virginia Vilanova;Periodista argentina de origen español;1934;?;https://proverbia.net/autor/frases-de-virginia-vilanova
Francisco Villaespesa;Escritor modernista español;1877;1936;https://proverbia.net/autor/frases-de-francisco-villaespesa
Jose Luis de Villalonga;Actor y escritor español;1920;2007;https://proverbia.net/autor/frases-de-jose-luis-de-villalonga
Llorenç Villalonga;Escritor español;1897;1980;https://proverbia.net/autor/frases-de-llorenc-villalonga
George Villiers;Duque de Buckingham Político inglés.;1592;1628;https://proverbia.net/autor/frases-de-george-villiers
Alejandro Vinet;Literato y teólogo suizo;1797;1847;https://proverbia.net/autor/frases-de-alejandro-vinet
Rudolf Virchow;Patólogo, arqueólogo y antropólogo alemán;1821;1902;https://proverbia.net/autor/frases-de-rudolf-virchow
Virgilio;Poeta romano;70 a.C.;19 a.C.;https://proverbia.net/autor/frases-de-virgilio
Luchino Visconti;Aristócrata y director de cine italiano;1906;1976;https://proverbia.net/autor/frases-de-luchino-visconti
Emilio Visconti Ventosa;Político italiano;1829;1914;https://proverbia.net/autor/frases-de-emilio-visconti-ventosa
David Viscott;Psiquiatra y escritor estadounidense;1938;1996;https://proverbia.net/autor/frases-de-david-viscott
Swami Vivekananda;Líder espiritual y reformador hindú;1863;1902;https://proverbia.net/autor/frases-de-swami-vivekananda
Juan Luis Vives;Humanista y filósofo español;1492;1540;https://proverbia.net/autor/frases-de-juan-luis-vives
Vincent Voiture;Poeta francés;1597;1648;https://proverbia.net/autor/frases-de-vincent-voiture
Voltaire;Filósofo y escritor francés;1694;1778;https://proverbia.net/autor/frases-de-voltaire
Otto von Bismark;Político alemán;1815;1898;https://proverbia.net/autor/frases-de-otto-von-bismark
Wernher Von Braun;Ingeniero aeroespacial alemán;1912;1977;https://proverbia.net/autor/frases-de-wernher-von-braun
Marie von Ebner-Eschenbach;Novelista austríaca;1830;1916;https://proverbia.net/autor/frases-de-marie-von-ebnereschenbach
Hugo von Hofmannsthal;Escritor austríaco;1874;1729;https://proverbia.net/autor/frases-de-hugo-von-hofmannsthal
Karl Wilhelm Von Humboldt;Político prusiano;1767;1835;https://proverbia.net/autor/frases-de-karl-wilhelm-von-humboldt
Herbert Von Karajan;Director de orquesta austríaco;1908;?;https://proverbia.net/autor/frases-de-herbert-von-karajan
Heinrich Wilhelm von Kleist;Dramaturgo alemán;1777;1811;https://proverbia.net/autor/frases-de-heinrich-wilhelm-von-kleist
August von Kotzebue;Dramaturgo alemán;1761;1819;https://proverbia.net/autor/frases-de-august-von-kotzebue
Friedrich von Logau;Poeta alemán;1605;1655;https://proverbia.net/autor/frases-de-friedrich-von-logau
