name;info;birth;demise;dataUrl
Otto Wagner;Arquitecto austríaco;1841;1918;https://proverbia.net/autor/frases-de-otto-wagner
William Ross Wallace;Poeta estadounidense;1819;1892;https://proverbia.net/autor/frases-de-william-ross-wallace
Sir Hugh Seymour Walpole;Novelista inglés;1844;1941;https://proverbia.net/autor/frases-de-sir-hugh-seymour-walpole
Mika Waltari;Escritor finlandés;1908;1979;https://proverbia.net/autor/frases-de-mika-waltari
Ernest Thomas Sinton Walton;Físico irlandes;1903;1995;https://proverbia.net/autor/frases-de-ernest-thomas-sinton-walton
William George Ward;Escritor y teólogo inglés;1812;1882;https://proverbia.net/autor/frases-de-william-george-ward
Barbara Ward;Economista, peridista y educadora inglesa;1914;1981;https://proverbia.net/autor/frases-de-barbara-ward
Julia Ward Howe;Activista social y poetisa estadounidense;1819;1910;https://proverbia.net/autor/frases-de-julia-ward-howe-
Robert Penn Warren;Novelista, poeta y crítico literario estadounidens;1905;1989;https://proverbia.net/autor/frases-de-robert-penn-warren
George Washington;Primer presidente de los Estados Unidos;1732;1799;https://proverbia.net/autor/frases-de-george-washington
Bill Watterson;Autor de comics;1958;?;https://proverbia.net/autor/frases-de-bill-watterson
Evelyn Waugh;Escritor inglés;1903;1966;https://proverbia.net/autor/frases-de-evelyn-waugh
Carl Maria von Weber;Compositor alemán;1786;1826;https://proverbia.net/autor/frases-de-carl-maria-von-weber
Friedrich Weber;Escritor y médico alemán;1813;1894;https://proverbia.net/autor/frases-de-friedrich-weber
Simone Weil;Filósofa y activista política francesa;1909;1943;https://proverbia.net/autor/frases-de-simone-weil
LenWein;;;;https://proverbia.net/autor/frases-de-len-wein
Orson Welles;Director de cine estadounidense;1915;1985;https://proverbia.net/autor/frases-de-orson-welles
Herbert George Wells;Novelista, periodista e historiador inglés;1866;1946;https://proverbia.net/autor/frases-de-herbert-george-wells
Franz Werfel;Novelista, poeta y dramaturgo austriaco;1890;1945;https://proverbia.net/autor/frases-de-franz-werfel
John Wesley;Clérigo anglicano;1703;1791;https://proverbia.net/autor/frases-de-john-wesley
Morris West;Escritor australiano;1916;1999;https://proverbia.net/autor/frases-de-morris-west
Mae West;Actriz estadounidense;1892;1981;https://proverbia.net/autor/frases-de-mae-west
Richard Whately;Arzobispo anglicano y educador británico;1787;1863;https://proverbia.net/autor/frases-de-richard-whately
John Archibald Wheeler;Físico estadounidense;1911;2008;https://proverbia.net/autor/frases-de-john-archibald
Alfred North Whitehead;Filósofo y matemático angloamericano;1861;1947;https://proverbia.net/autor/frases-de-alfred-north-whitehead
Walt Whitman;Poeta estadounidense;1819;1892;https://proverbia.net/autor/frases-de-walt-whitman
Ernst Wiechert;Escritor alemán;1887;1950;https://proverbia.net/autor/frases-de-ernst-wiechert
Christoph Wieland;Escritor alemán;1733;1813;https://proverbia.net/autor/frases-de-christoph-wieland
Norbert Wiener;Matemático estadounidense que estableció la cienci;1894;1964;https://proverbia.net/autor/frases-de-norbert-wiener
Oscar Wilde;Dramaturgo y novelista irlandés;1854;1900;https://proverbia.net/autor/frases-de-oscar-wilde
Billy Wilder;Director, guionista y productor de cine de origen;1906;2002;https://proverbia.net/autor/frases-de-billy-wilder
Thornton Wilder;Escritor estadounidense;1897;1975;https://proverbia.net/autor/frases-de-thornton-wilder
Tennessee Williams;Dramaturgo estadounidense;1911;1983;https://proverbia.net/autor/frases-de-tennessee-williams
John Wilmot;Segundo conde de Rochester Poeta inglés.;1647;1680;https://proverbia.net/autor/frases-de-john-wilmot
Woodrow Wilson;Político y jurista nortemaericano;1856;1924;https://proverbia.net/autor/frases-de-woodrow-wilson
Charles Thomson Rees Wilson;Físico escocés;1869;1959;https://proverbia.net/autor/frases-de-charles-thomson-rees-wilson
Edmund Wilson;Escritor norteamericano;1895;1972;https://proverbia.net/autor/frases-de-edmund-wilson
Harold Wilson;Político inglés;1916;1995;https://proverbia.net/autor/frases-de-harold-wilson
Ludwig Wittgenstein;Filósofo británico, de origen austríaco;1889;1951;https://proverbia.net/autor/frases-de-ludwig-wittgenstein
Roger Wolfe;Escritor inglés;1962;?;https://proverbia.net/autor/frases-de-roger-wolfe
Tom Wolfe;Periodista y escritor estadounidense;1931;2018;https://proverbia.net/autor/frases-de-tom-wolfe
Virginia Woolf;Novelista y editora británica;1882;1941;https://proverbia.net/autor/frases-de-virginia-woolf
William Wordsworth;Poeta inglés;1770;1850;https://proverbia.net/autor/frases-de-william-wordsworth
Frank Lloyd Wright;Arquitecto estadounidense;1867;1959;https://proverbia.net/autor/frases-de-frank-lloyd-wright
